game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,0,12,7,2,13,0,0.000000,0.000000,0.393443,0.133880,0.010929,0.461749,0.000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,27,31,46,73,29,68,44,54,54,99,29,35
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,AUSTRIA,cicero_nopress,consistent,max_phases,F1913M,60,0,3,10,8,0,7,6,0.000000,0.034884,0.387597,0.248062,0.000000,0.189922,0.139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,26,38,42,67,56,77,8,9,58,98,36,60
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,9,4,5,10,6,0.000000,0.000000,0.313953,0.062016,0.096899,0.387597,0.139535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55,11,14,36,40,29,39,26,54,49,81,23,45
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,3,11,0,3,0,8,9,0.031690,0.426056,0.000000,0.031690,0.000000,0.225352,0.285211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,52,63,6,12,32,57,22,24,45,63,32,51
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,2,9,7,0,9,7,0.000000,0.015152,0.306818,0.185606,0.000000,0.306818,0.185606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,23,33,29,32,53,63,25,39,47,63,45,65
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,4,10,2,7,3,8,0.000000,0.066116,0.413223,0.016529,0.202479,0.037190,0.264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,23,45,48,85,36,54,34,51,46,78,24,50
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,9,5,2,12,6,0.000000,0.000000,0.279310,0.086207,0.013793,0.496552,0.124138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,41,45,64,49,78,37,63,50,95,38,45
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,AUSTRIA,cicero_nopress,consistent,max_phases,F1913M,60,0,8,4,4,5,6,7,0.000000,0.310680,0.077670,0.077670,0.121359,0.174757,0.237864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,38,51,33,51,19,40,37,57,30,46,56,67
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,AUSTRIA,cicero_nopress,consistent,max_phases,F1913R,60,0,7,10,3,0,0,14,0.000000,0.138418,0.282486,0.025424,0.000000,0.000000,0.553672,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,28,72,50,63,37,73,8,9,12,20,60,90
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,13,0,0,15,6,0,0.000000,0.393023,0.000000,0.000000,0.523256,0.083721,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,46,57,72,29,35,15,28,49,57,58,95,10,20
