game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,4,5,3,6,14,2,0.000000,0.055944,0.087413,0.031469,0.125874,0.685315,0.013986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,17,23,25,46,44,72,35,69,60,89,40,59
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,54,0,0,17,0,7,0,10,0.000000,0.000000,0.659817,0.000000,0.111872,0.000000,0.228311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,18,27,54,69,9,15,27,74,24,92,27,93
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913M,60,5,0,14,0,8,7,0,0.074850,0.000000,0.586826,0.000000,0.191617,0.146707,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,75,5,5,78,97,29,42,35,58,50,85,3,22
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913R,60,0,6,0,6,3,13,6,0.000000,0.125874,0.000000,0.125874,0.031469,0.590909,0.125874,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,36,42,6,6,57,79,33,52,49,82,25,62
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,2,7,6,4,8,7,0.000000,0.018349,0.224771,0.165138,0.073394,0.293578,0.224771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,34,37,31,44,58,80,31,41,45,92,30,46
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,5,3,15,0,0,5,6,0.078125,0.028125,0.703125,0.000000,0.000000,0.078125,0.112500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,33,49,40,44,23,31,8,10,46,83,36,52
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,10,0,15,1,5,1,2,0.280899,0.000000,0.632022,0.002809,0.070225,0.002809,0.011236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,82,21,24,50,58,40,49,23,65,20,23,30,55
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,1,8,5,17,3,0,0.000000,0.002577,0.164948,0.064433,0.744845,0.023196,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37,21,25,17,24,46,63,47,63,48,68,14,38
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,7,0,1,16,10,0,0,0.120690,0.000000,0.002463,0.630542,0.246305,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,111,23,41,29,40,61,76,22,62,18,37,10,18
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913R,60,10,0,0,14,8,0,2,0.274725,0.000000,0.000000,0.538462,0.175824,0.000000,0.010989,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,76,24,34,17,35,70,104,33,40,17,27,14,52
