game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,6,8,3,3,12,2,0.000000,0.135338,0.240602,0.033835,0.033835,0.541353,0.015038,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,9,18,33,31,49,43,61,47,68,69,93,20,42
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,0,2,13,0,6,13,0.000000,0.000000,0.010582,0.447090,0.000000,0.095238,0.447090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,9,24,17,40,44,97,13,26,28,65,32,44
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,FRANCE,cicero_nopress,consistent,max_phases,F1913R,60,0,1,1,15,9,5,3,0.000000,0.002924,0.002924,0.657895,0.236842,0.073099,0.026316,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,4,5,32,41,63,109,45,67,37,86,31,51
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,FRANCE,cicero_nopress,consistent,max_phases,F1913R,60,0,7,1,7,6,13,0,0.000000,0.161184,0.003289,0.161184,0.118421,0.555921,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,17,19,19,38,43,47,72,40,65,46,71,21,28
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,FRANCE,cicero_nopress,consistent,max_phases,S1914R,60,0,14,10,0,2,8,0,0.000000,0.538462,0.274725,0.000000,0.010989,0.175824,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,84,100,61,88,18,29,24,34,37,49,10,21
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,FRANCE,cicero_nopress,consistent,max_phases,F1915M,60,4,0,0,16,8,6,0,0.043011,0.000000,0.000000,0.688172,0.172043,0.096774,0.000000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,121,5,6,29,33,89,102,45,69,25,99,4,15
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,FRANCE,cicero_nopress,consistent,solo_18sc_TURKEY,F1911M,48,0,0,11,5,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,14,19,37,88,26,71,19,28,2,7,52,58
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,54,0,0,10,6,6,7,5,0.000000,0.000000,0.406504,0.146341,0.146341,0.199187,0.101626,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,25,31,41,77,30,60,31,41,31,80,26,51
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,0,12,1,8,13,0,0.000000,0.000000,0.380952,0.002646,0.169312,0.447090,0.000000,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,18,36,62,44,85,39,45,61,90,29,36
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,FRANCE,cicero_nopress,consistent,max_phases,S1913R,60,12,1,6,4,6,0,5,0.558140,0.003876,0.139535,0.062016,0.139535,0.000000,0.096899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,11,15,39,52,37,50,22,42,17,34,26,36
