game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,12,0,4,5,6,7,0.000000,0.533333,0.000000,0.059259,0.092593,0.133333,0.181481,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,50,94,20,22,32,44,33,53,40,71,31,46
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,GERMANY,cicero_nopress,consistent,solo_18sc_AUSTRIA,F1912M,52,18,7,6,3,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,95,38,56,26,61,19,44,13,18,9,15,8,11
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,GERMANY,cicero_nopress,consistent,max_phases,S1915M,60,7,0,15,0,12,0,0,0.117225,0.000000,0.538278,0.000000,0.344498,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,117,14,15,82,102,25,36,58,98,12,19,10,21
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,GERMANY,cicero_nopress,consistent,max_phases,S1914M,60,0,1,7,0,0,15,11,0.000000,0.002525,0.123737,0.000000,0.000000,0.568182,0.305556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,28,37,49,90,12,15,24,37,71,96,40,50
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,GERMANY,cicero_nopress,consistent,max_phases,F1913M,60,7,5,9,0,8,2,3,0.211207,0.107759,0.349138,0.000000,0.275862,0.017241,0.038793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,99,33,44,42,75,21,32,19,92,14,27,21,39
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,7,3,1,7,10,6,0.000000,0.200820,0.036885,0.004098,0.200820,0.409836,0.147541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,28,42,25,25,29,37,32,73,47,91,37,57
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,4,15,0,5,1,9,0.000000,0.045977,0.646552,0.000000,0.071839,0.002874,0.232759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,32,37,44,68,24,39,45,59,34,56,42,50
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,GERMANY,cicero_nopress,consistent,max_phases,F1913R,60,0,0,7,13,10,0,4,0.000000,0.000000,0.146707,0.505988,0.299401,0.000000,0.047904,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,8,9,47,62,71,110,51,85,6,17,23,61
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,6,0,17,0,8,3,0,0.090452,0.000000,0.726131,0.000000,0.160804,0.022613,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82,14,17,62,76,33,53,26,32,27,34,16,21
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,4,5,10,1,0,5,9,0.064516,0.100806,0.403226,0.004032,0.000000,0.100806,0.326613,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,49,36,39,47,61,31,54,12,17,24,49,40,67
