game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,ITALY,cicero_nopress,consistent,max_phases,F1913R,60,3,0,4,11,6,10,0,0.031915,0.000000,0.056738,0.429078,0.127660,0.354610,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,18,37,5,7,38,45,62,85,38,45,40,55,29,38
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,11,6,2,10,5,0,0,0.423077,0.125874,0.013986,0.349650,0.087413,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,46,66,21,55,18,38,33,130,26,33,11,19,20,38
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,7,0,8,8,11,0,0.000000,0.164430,0.000000,0.214765,0.214765,0.406040,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,63,24,29,14,22,41,61,36,47,38,82,10,14
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,ITALY,cicero_nopress,consistent,max_phases,F1913M,60,0,5,14,1,0,2,12,0.000000,0.067568,0.529730,0.002703,0.000000,0.010811,0.389189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,31,51,53,67,43,52,8,8,35,47,53,65
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,0,12,5,1,16,0,0.000000,0.000000,0.338028,0.058685,0.002347,0.600939,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,23,41,60,79,42,79,20,34,52,98,6,16
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,2,7,0,7,2,5,11,0.015873,0.194444,0.000000,0.194444,0.015873,0.099206,0.480159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,65,44,60,15,21,25,48,30,36,27,53,33,40
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,ITALY,cicero_nopress,consistent,max_phases,F1913R,60,0,6,0,1,9,13,5,0.000000,0.115385,0.000000,0.003205,0.259615,0.541667,0.080128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,38,62,5,9,33,47,49,70,32,65,42,94
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,ITALY,cicero_nopress,consistent,max_phases,S1914R,60,0,0,10,10,0,0,14,0.000000,0.000000,0.252525,0.252525,0.000000,0.000000,0.494949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,45,7,7,56,80,77,99,24,33,4,7,64,93
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,1,11,9,0,0,6,7,0.003472,0.420139,0.281250,0.000000,0.000000,0.125000,0.170139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,24,60,51,62,38,62,22,45,10,11,20,52,29,46
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,ITALY,cicero_nopress,consistent,max_phases,F1913M,60,0,10,5,2,1,7,9,0.000000,0.384615,0.096154,0.015385,0.003846,0.188462,0.311538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,16,37,46,56,33,62,23,53,18,27,44,66,29,55
