game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed0_v2,0,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,0,9,7,1,0,17,0.000000,0.000000,0.192857,0.116667,0.002381,0.000000,0.688095,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,30,23,32,42,59,46,60,18,54,19,30,79,104
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed1_v2,1,1v6,RUSSIA,cicero_nopress,consistent,max_phases,W1914A,60,0,3,7,6,6,7,5,0.000000,0.044118,0.240196,0.176471,0.176471,0.240196,0.122549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,32,49,19,41,49,63,36,44,49,99,54,62
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed2_v2,2,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,55,0,2,13,3,7,2,7,0.000000,0.014085,0.595070,0.031690,0.172535,0.014085,0.172535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,16,22,33,49,37,74,31,52,47,66,37,49
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed3_v2,3,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,4,4,8,6,6,6,0.000000,0.078431,0.078431,0.313725,0.176471,0.176471,0.176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,25,30,36,60,43,50,44,73,30,39,51,86
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed4_v2,4,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,3,0,9,9,7,6,0.000000,0.035156,0.000000,0.316406,0.316406,0.191406,0.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,30,44,12,20,50,63,39,64,54,87,41,57
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed5_v2,5,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,8,12,0,0,1,13,0.000000,0.169312,0.380952,0.000000,0.000000,0.002646,0.447090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,29,39,41,46,67,21,31,12,13,36,61,54,84
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed6_v2,6,1v6,RUSSIA,cicero_nopress,consistent,solo_18sc_TURKEY,F1910R,45,0,5,4,7,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,8,26,35,21,34,31,42,18,24,28,38,39,42
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed7_v2,7,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,2,3,7,12,6,4,0.000000,0.015504,0.034884,0.189922,0.558140,0.139535,0.062016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,14,15,16,35,43,46,78,57,91,26,53,22,70
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed8_v2,8,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,15,0,9,10,0,0.000000,0.000000,0.554187,0.000000,0.199507,0.246305,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,36,7,8,50,105,32,50,45,52,48,87,9,11
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed9_v2,9,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,5,10,3,6,5,5,0.000000,0.113636,0.454545,0.040909,0.163636,0.113636,0.113636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,72,26,36,54,70,34,49,25,82,33,41,19,32
