game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,AUSTRIA,cicero_nopress,dipnet,stop_after_W1913A,W1913A,57,0,0,3,16,4,0,11,0.000000,0.000000,0.022388,0.636816,0.039801,0.000000,0.300995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,21,44,54,70,28,75,9,70,27,81
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,AUSTRIA,cicero_nopress,dipnet,stop_after_W1913A,W1913A,53,1,1,4,9,2,0,17,0.002551,0.002551,0.040816,0.206633,0.010204,0.000000,0.737245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,8,46,66,51,110,38,69,3,35,49,77
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,AUSTRIA,cicero_nopress,dipnet,solo_18sc_FRANCE,F1912M,52,1,0,18,2,1,1,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,35,47,127,22,24,34,38,9,38,38,81
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,AUSTRIA,cicero_nopress,dipnet,max_phases,F1922M,60,2,0,9,6,7,5,5,0.018182,0.000000,0.368182,0.163636,0.222727,0.113636,0.113636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,9,103,269,14,212,156,159,36,121,6,120
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,AUSTRIA,cicero_nopress,dipnet,solo_18sc_TURKEY,F1912R,48,0,5,0,9,2,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,29,65,22,46,28,77,15,75,10,70,48,91
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,AUSTRIA,cicero_nopress,dipnet,max_phases,W1919A,60,1,1,11,5,5,4,7,0.004202,0.004202,0.508403,0.105042,0.105042,0.067227,0.205882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,22,25,250,39,121,26,148,3,100,64,139
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,AUSTRIA,cicero_nopress,dipnet,stop_after_W1913A,W1913A,47,1,0,17,0,0,8,8,0.002392,0.000000,0.691388,0.000000,0.000000,0.153110,0.153110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,8,43,142,24,28,18,18,49,152,47,97
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,AUSTRIA,cicero_nopress,dipnet,solo_18sc_AUSTRIA,F1914R,52,18,0,7,8,0,1,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,95,7,10,32,83,51,112,18,33,17,27,10,13
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,AUSTRIA,cicero_nopress,dipnet,solo_18sc_AUSTRIA,F1910R,42,18,0,10,6,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,65,8,12,47,64,21,77,6,19,8,16,16,17
run_1v6_myAUSTRIA_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,AUSTRIA,cicero_nopress,dipnet,max_phases,F1913R,60,2,0,4,12,11,5,0,0.012903,0.000000,0.051613,0.464516,0.390323,0.080645,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,84,11,12,37,80,55,81,48,62,24,36,5,14
