game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,FRANCE,cicero_nopress,dipnet,solo_18sc_FRANCE,F1910R,45,0,0,18,0,9,3,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,4,4,51,70,18,28,43,60,19,70,31,36
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,FRANCE,cicero_nopress,dipnet,solo_18sc_FRANCE,F1908M,35,1,3,18,2,0,6,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,20,22,23,35,16,33,4,5,17,52,2,31
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,FRANCE,cicero_nopress,dipnet,solo_18sc_FRANCE,F1908R,35,1,2,18,1,11,1,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,43,18,20,35,48,10,15,24,34,10,33,0,18
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,FRANCE,cicero_nopress,dipnet,stop_after_W1913A,W1913A,54,17,11,5,1,0,0,0,0.662844,0.277523,0.057339,0.002294,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,80,78,124,26,69,14,27,22,34,10,15,1,13
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,FRANCE,cicero_nopress,dipnet,solo_18sc_FRANCE,F1910R,46,1,14,18,0,1,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,55,54,62,48,68,8,9,17,39,8,18,0,17
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,FRANCE,cicero_nopress,dipnet,stop_after_W1913A,W1913A,55,0,0,13,3,7,7,4,0.000000,0.000000,0.578767,0.030822,0.167808,0.167808,0.054795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,1,4,68,79,46,93,51,99,29,109,22,58
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,FRANCE,cicero_nopress,dipnet,stop_after_W1913A,W1913A,55,1,0,12,4,6,6,5,0.003876,0.000000,0.558140,0.062016,0.139535,0.139535,0.096899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,4,10,51,61,44,73,48,67,24,94,9,85
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,FRANCE,cicero_nopress,dipnet,solo_18sc_FRANCE,F1912M,49,0,0,19,0,4,6,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,3,59,72,39,48,40,80,21,89,29,51
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,FRANCE,cicero_nopress,dipnet,stop_after_W1913A,W1913A,57,1,3,15,0,3,11,1,0.002732,0.024590,0.614754,0.000000,0.024590,0.330601,0.002732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,46,56,70,91,5,13,24,31,39,67,0,20
run_1v6_myFRANCE_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,FRANCE,cicero_nopress,dipnet,stop_after_W1913A,W1913A,55,14,0,15,2,3,0,0,0.451613,0.000000,0.518433,0.009217,0.020737,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,107,5,31,57,73,32,71,17,21,17,48,0,19
