game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,GERMANY,cicero_nopress,dipnet,solo_18sc_GERMANY,F1913R,60,0,1,1,20,8,0,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14,23,34,48,67,98,62,119,9,24,34,77
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,GERMANY,cicero_nopress,dipnet,max_phases,W1914A,60,2,0,15,1,16,0,0,0.008230,0.000000,0.462963,0.002058,0.526749,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,15,18,86,118,39,50,114,147,3,17,21,26
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,GERMANY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,57,13,0,2,9,10,0,0,0.477401,0.000000,0.011299,0.228814,0.282486,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,102,7,13,31,46,41,64,29,80,15,28,1,15
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,GERMANY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,56,15,10,1,6,2,0,0,0.614754,0.273224,0.002732,0.098361,0.010929,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,109,30,38,32,54,37,49,29,66,7,27,0,18
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,GERMANY,cicero_nopress,dipnet,solo_18sc_GERMANY,F1910R,41,0,2,6,21,1,0,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,39,51,23,59,56,70,19,33,11,21,6,33
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,GERMANY,cicero_nopress,dipnet,solo_18sc_GERMANY,F1910R,45,0,0,1,19,14,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,14,27,38,31,68,48,85,3,20,12,27
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,GERMANY,cicero_nopress,dipnet,max_phases,F1913R,60,4,0,1,15,14,0,0,0.036530,0.000000,0.002283,0.513699,0.447489,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,64,8,10,36,62,60,81,50,73,11,21,0,17
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,GERMANY,cicero_nopress,dipnet,solo_18sc_GERMANY,F1909R,40,0,1,8,20,5,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,10,20,27,58,43,74,21,31,8,13,6,15
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,GERMANY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,60,0,0,3,15,11,0,5,0.000000,0.000000,0.023684,0.592105,0.318421,0.000000,0.065789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,20,68,86,56,63,67,91,5,22,35,65
run_1v6_myGERMANY_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,GERMANY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,58,0,0,9,10,1,1,13,0.000000,0.000000,0.230114,0.284091,0.002841,0.002841,0.480114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,13,16,58,84,40,105,18,25,18,38,43,70
