game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1910M,44,0,9,2,4,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,44,48,11,80,20,33,37,46,22,30,2,12
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1908R,37,0,1,3,9,19,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,17,21,14,47,33,46,32,43,19,28,1,15
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1913R,53,0,8,6,0,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,25,34,33,87,27,31,58,68,33,66,14,30
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,ITALY,cicero_nopress,dipnet,max_phases,S1918M,60,0,0,17,0,16,1,0,0.000000,0.000000,0.529304,0.000000,0.468864,0.001832,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,16,173,202,10,43,123,210,15,64,2,27
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1909M,36,0,8,4,2,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,24,50,32,57,17,56,46,53,18,51,0,21
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1913R,55,0,14,0,0,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,59,68,24,50,28,31,80,111,46,65,0,20
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1909R,39,0,6,3,5,18,0,2,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,42,56,12,14,31,45,39,46,9,16,20,28
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_ITALY,F1909R,41,0,1,2,8,20,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,10,11,16,46,24,55,57,65,19,48,0,21
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,ITALY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,56,0,1,12,5,1,10,5,0.000000,0.003378,0.486486,0.084459,0.003378,0.337838,0.084459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,12,28,32,129,30,61,13,31,31,88,28,43
run_1v6_myITALY_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,ITALY,cicero_nopress,dipnet,solo_18sc_GERMANY,F1911R,50,0,0,0,19,15,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,9,11,20,44,46,77,47,55,26,54,5,19
