game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_FRANCE,F1910R,45,2,0,18,0,10,4,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,9,25,38,45,17,30,35,52,25,35,3,12
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,RUSSIA,cicero_nopress,dipnet,max_phases,F1922M,60,5,1,10,6,9,3,0,0.099206,0.003968,0.396825,0.142857,0.321429,0.035714,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,133,9,9,83,288,11,188,69,238,10,82,10,13
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1909R,37,0,0,13,0,2,18,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,14,42,70,8,9,11,30,38,64,15,29
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1909M,39,0,1,10,0,5,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,28,30,64,17,21,12,25,36,64,17,33
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1909M,39,0,0,10,1,1,20,2,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,9,27,74,27,63,16,38,34,54,21,29
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1911R,48,0,2,1,3,2,19,7,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,20,37,13,15,24,35,26,62,37,90,24,61
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1907R,30,0,1,12,0,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,11,19,26,29,9,15,11,29,25,35,10,22
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_ITALY,F1910R,46,0,2,8,4,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,16,27,40,55,20,63,37,54,20,38,0,16
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,RUSSIA,cicero_nopress,dipnet,solo_18sc_RUSSIA,F1909M,41,0,0,16,0,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,15,20,24,57,8,33,16,33,42,73,9,22
run_1v6_myRUSSIA_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,RUSSIA,cicero_nopress,dipnet,stop_after_W1913A,W1913A,57,16,0,0,5,10,3,0,0.656410,0.000000,0.000000,0.064103,0.256410,0.023077,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,82,11,17,28,35,40,63,31,49,30,65,0,20
