side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.204023,0.200000,0.000000,0.500000,0.300000,2,0,5,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,158,281,0.562278
self,cicero_nopress,per_power,ENGLAND,10,0.420013,0.300000,0.200000,0.100000,0.400000,3,2,1,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,386,545,0.708257
self,cicero_nopress,per_power,FRANCE,10,0.732743,0.500000,0.400000,0.100000,0.000000,5,4,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,488,666,0.732733
self,cicero_nopress,per_power,GERMANY,10,0.571913,0.400000,0.200000,0.400000,0.000000,4,2,4,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,470,722,0.650970
self,cicero_nopress,per_power,ITALY,10,0.747224,0.700000,0.000000,0.200000,0.100000,7,0,2,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,532,728,0.730769
self,cicero_nopress,per_power,RUSSIA,10,0.605879,0.600000,0.000000,0.200000,0.200000,6,0,2,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,297,600,0.495000
self,cicero_nopress,per_power,TURKEY,10,0.138287,0.000000,0.100000,0.500000,0.400000,0,1,5,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,272,508,0.535433
opponent,dipnet,per_power,AUSTRIA,60,0.060607,0.000000,0.066667,0.166667,0.766667,0,4,10,46,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1270,2330,0.545064
opponent,dipnet,per_power,ENGLAND,60,0.022740,0.000000,0.016667,0.150000,0.833333,0,1,9,50,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1138,1731,0.657423
opponent,dipnet,per_power,FRANCE,60,0.171832,0.050000,0.166667,0.233333,0.550000,3,10,14,33,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2218,4798,0.462276
opponent,dipnet,per_power,GERMANY,60,0.078033,0.016667,0.083333,0.233333,0.666667,1,5,14,40,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1626,3475,0.467914
opponent,dipnet,per_power,ITALY,60,0.171571,0.083333,0.066667,0.400000,0.450000,5,4,24,27,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2250,3981,0.565185
opponent,dipnet,per_power,RUSSIA,60,0.029357,0.000000,0.000000,0.266667,0.733333,0,0,16,44,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1083,3115,0.347673
opponent,dipnet,per_power,TURKEY,60,0.062513,0.016667,0.033333,0.200000,0.750000,1,2,12,45,0,0,0,0,0.000000,0.000000,0.000000,0.000000,917,2344,0.391212
self,cicero_nopress,overall,OVERALL,70,0.488583,0.385714,0.128571,0.285714,0.200000,27,9,20,14,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2603,4050,0.642716
opponent,dipnet,overall,OVERALL,420,0.085236,0.023810,0.061905,0.235714,0.678571,10,26,99,285,0,0,0,0,0.000000,0.000000,0.000000,0.000000,10502,21774,0.482318
