game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_AUSTRIA,F1907R,31,18,4,8,4,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,16,21,23,31,12,30,4,12,8,17,9,10
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_TURKEY,F1909R,39,0,0,6,4,0,0,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,9,10,29,41,26,47,14,17,1,5,43,49
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,AUSTRIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,0,6,7,15,4,2,0.000000,0.000000,0.109091,0.148485,0.681818,0.048485,0.012121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,6,16,31,46,39,71,53,75,24,66,35,44
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,AUSTRIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,7,5,0,0,7,11,4,0.188462,0.096154,0.000000,0.000000,0.188462,0.465385,0.061538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,56,16,32,16,21,36,44,20,36,43,79,28,57
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_AUSTRIA,F1910R,45,20,1,2,6,5,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,66,13,21,5,18,24,62,17,31,15,19,13,22
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_ITALY,F1912R,54,0,0,7,7,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,8,11,26,68,36,96,74,96,8,49,8,14
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_TURKEY,F1912R,55,0,0,9,7,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,11,12,30,45,48,66,25,35,4,5,72,93
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_FRANCE,F1909R,42,0,0,18,0,3,7,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,9,12,41,51,17,32,13,45,20,43,24,26
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,AUSTRIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,2,0,16,0,16,0,0,0.007752,0.000000,0.496124,0.000000,0.496124,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,17,30,56,126,17,27,69,98,4,14,31,48
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,AUSTRIA,cicero_nopress,searchbot,solo_18sc_TURKEY,F1913R,53,0,0,12,3,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,14,26,89,33,96,12,23,5,28,81,83
