game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_AUSTRIA,F1908R,36,19,7,4,0,3,1,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,23,32,16,30,16,26,13,22,7,33,8,10
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_ITALY,F1909R,40,0,1,9,5,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,12,34,53,23,29,42,59,12,27,16,30
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,ENGLAND,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,0,0,5,10,14,4,1,0.000000,0.000000,0.073964,0.295858,0.579882,0.047337,0.002959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,9,31,49,38,59,77,99,35,57,21,50
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_FRANCE,F1912R,53,0,0,23,1,3,2,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,14,20,52,74,29,47,37,51,20,77,20,31
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,ENGLAND,cicero_nopress,searchbot,max_phases,F1913R,60,0,0,12,8,6,4,4,0.000000,0.000000,0.521739,0.231884,0.130435,0.057971,0.057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47,17,27,21,21,51,76,39,48,17,42,42,62
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_GERMANY,F1913R,56,5,1,0,18,2,0,8,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,10,27,10,11,77,90,16,24,25,48,40,68
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_ITALY,F1913R,57,0,0,9,5,20,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,7,15,36,68,41,116,57,94,17,37,21,55
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,ENGLAND,cicero_nopress,searchbot,solo_18sc_FRANCE,F1911M,50,0,0,18,0,6,3,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,14,16,54,64,29,35,33,49,25,52,27,45
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,ENGLAND,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,1,6,0,12,11,4,0.000000,0.003145,0.113208,0.000000,0.452830,0.380503,0.050314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,10,16,45,94,12,33,52,72,39,109,23,39
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,ENGLAND,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,1,2,0,9,14,5,3,0.003165,0.012658,0.000000,0.256329,0.620253,0.079114,0.028481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,68,13,18,26,36,36,50,39,50,32,54,22,36
