game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_AUSTRIA,F1909M,36,18,3,9,3,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,80,16,18,29,47,26,28,2,4,3,8,9,19
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_RUSSIA,F1910R,45,0,0,12,0,1,21,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,12,21,26,37,21,24,11,22,64,86,0,5
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_GERMANY,F1913R,60,2,0,3,18,11,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,81,14,26,25,32,62,80,24,42,33,72,6,7
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_GERMANY,F1911R,47,0,0,8,18,2,0,6,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,14,17,34,66,52,78,33,43,6,7,32,62
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_ITALY,F1910R,46,0,0,5,4,19,5,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,15,18,29,49,17,39,36,53,15,57,21,29
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,2,8,5,12,7,0,0.000000,0.013986,0.223776,0.087413,0.503497,0.171329,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,13,32,30,79,27,48,54,76,32,83,20,41
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,10,0,15,1,0,8,0.000000,0.256410,0.000000,0.576923,0.002564,0.000000,0.164103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,37,81,14,31,61,81,35,56,11,35,39,65
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_GERMANY,F1911R,47,0,0,8,18,2,0,6,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,14,17,34,66,52,78,33,43,6,7,32,62
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,GERMANY,cicero_nopress,searchbot,solo_18sc_FRANCE,F1912R,53,5,0,19,0,0,4,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,26,36,50,74,13,28,18,18,11,74,38,81
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,0,13,0,10,7,4,0.000000,0.000000,0.505988,0.000000,0.299401,0.146707,0.047904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,5,15,52,112,27,63,47,94,38,125,22,68
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,7,0,0,14,8,2,3,0.152174,0.000000,0.000000,0.608696,0.198758,0.012422,0.027950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,66,6,18,28,37,50,60,23,31,35,83,37,62
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,10,0,15,1,0,8,0.000000,0.256410,0.000000,0.576923,0.002564,0.000000,0.164103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,37,81,14,31,61,81,35,56,11,35,39,65
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,2,8,5,12,7,0,0.000000,0.013986,0.223776,0.087413,0.503497,0.171329,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,13,32,30,79,27,48,54,76,32,83,20,41
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,0,6,5,6,0,2,15,0.000000,0.110429,0.076687,0.110429,0.000000,0.012270,0.690184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,32,45,45,66,26,48,17,18,22,51,46,107
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,57,0,0,2,12,7,5,8,0.000000,0.000000,0.013986,0.503497,0.171329,0.087413,0.223776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57,6,18,31,40,50,60,28,37,36,85,47,67
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,GERMANY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,0,17,0,10,3,4,0.000000,0.000000,0.698068,0.000000,0.241546,0.021739,0.038647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,5,15,52,95,24,59,54,84,38,127,27,71
