game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,ITALY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,1,13,2,15,3,0,0.000000,0.002451,0.414216,0.009804,0.551471,0.022059,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,23,45,40,56,15,25,50,76,21,46,21,59
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,ITALY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,1,0,7,9,5,6,6,0.004386,0.000000,0.214912,0.355263,0.109649,0.157895,0.157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,78,4,10,38,61,38,93,34,46,32,72,17,43
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,ITALY,cicero_nopress,searchbot,max_phases,F1913R,60,5,0,11,7,2,4,5,0.104167,0.000000,0.504167,0.204167,0.016667,0.066667,0.104167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,6,11,32,103,47,97,39,44,16,46,37,62
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,ITALY,cicero_nopress,searchbot,solo_18sc_FRANCE,F1908R,36,0,0,18,0,3,1,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,7,12,34,39,6,11,22,25,12,20,19,24
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,ITALY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,5,0,5,12,0,3,9,0.088028,0.000000,0.088028,0.507042,0.000000,0.031690,0.285211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,58,5,6,49,84,56,93,22,31,15,25,35,53
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,ITALY,cicero_nopress,searchbot,solo_18sc_TURKEY,F1913M,56,0,3,5,4,0,2,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,21,32,22,47,29,59,18,20,22,49,72,89
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,ITALY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,4,6,6,0,16,2,0.000000,0.045977,0.103448,0.103448,0.000000,0.735632,0.011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,28,37,29,36,35,51,13,19,63,83,13,24
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,ITALY,cicero_nopress,searchbot,solo_18sc_FRANCE,F1913R,59,0,0,19,0,6,5,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,6,6,53,98,46,70,39,70,26,99,28,62
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,ITALY,cicero_nopress,searchbot,solo_18sc_ITALY,F1912R,54,0,0,3,8,18,5,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,21,25,25,29,37,48,55,73,38,67,4,6
run_1v6_myITALY_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,ITALY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,51,1,0,5,11,1,6,10,0.003521,0.000000,0.088028,0.426056,0.003521,0.126761,0.352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,5,9,36,57,36,80,23,28,31,70,35,72
