side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,5,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,5,0,1,0,0,0.000000,0.200000,0.000000,0.000000,82,124,0.661290
self,consistent,per_power,ENGLAND,4,0.002747,0.000000,0.000000,0.250000,0.750000,0,0,1,3,0,1,0,0,0.000000,0.250000,0.000000,0.000000,56,83,0.674699
self,consistent,per_power,FRANCE,5,0.358549,0.200000,0.200000,0.400000,0.200000,1,1,2,1,0,3,0,0,0.000000,0.600000,0.000000,0.000000,213,304,0.700658
self,consistent,per_power,GERMANY,4,0.437877,0.250000,0.250000,0.500000,0.000000,1,1,2,0,0,1,0,0,0.000000,0.250000,0.000000,0.000000,206,300,0.686667
self,consistent,per_power,ITALY,4,0.219892,0.000000,0.250000,0.500000,0.250000,0,1,2,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,197,301,0.654485
self,consistent,per_power,RUSSIA,5,0.118788,0.000000,0.200000,0.000000,0.800000,0,1,0,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,83,125,0.664000
self,consistent,per_power,TURKEY,5,0.007442,0.000000,0.000000,0.200000,0.800000,0,0,1,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,62,111,0.558559
opponent,cicero_nopress,per_power,AUSTRIA,27,0.077662,0.000000,0.074074,0.185185,0.740741,0,2,5,20,15,50,17,2,0.555556,1.851852,0.629630,0.074074,687,1078,0.637291
opponent,cicero_nopress,per_power,ENGLAND,28,0.065683,0.000000,0.035714,0.250000,0.714286,0,1,7,20,7,29,14,1,0.250000,1.035714,0.500000,0.035714,572,827,0.691657
opponent,cicero_nopress,per_power,FRANCE,27,0.226891,0.074074,0.185185,0.370370,0.370370,2,5,10,10,11,34,54,0,0.407407,1.259259,2.000000,0.000000,1003,1493,0.671802
opponent,cicero_nopress,per_power,GERMANY,28,0.177470,0.071429,0.107143,0.428571,0.392857,2,3,12,11,17,62,51,3,0.607143,2.214286,1.821429,0.107143,1069,1723,0.620429
opponent,cicero_nopress,per_power,ITALY,28,0.167298,0.107143,0.107143,0.178571,0.607143,3,3,5,17,14,43,12,9,0.500000,1.535714,0.428571,0.321429,793,1119,0.708668
opponent,cicero_nopress,per_power,RUSSIA,27,0.019084,0.000000,0.037037,0.333333,0.629630,0,1,9,17,10,35,15,3,0.370370,1.296296,0.555556,0.111111,547,940,0.581915
opponent,cicero_nopress,per_power,TURKEY,27,0.248267,0.074074,0.185185,0.333333,0.407407,2,5,9,11,8,40,17,0,0.296296,1.481481,0.629630,0.000000,899,1359,0.661516
self,consistent,overall,OVERALL,32,0.158311,0.062500,0.125000,0.250000,0.562500,2,4,8,18,0,6,0,0,0.000000,0.187500,0.000000,0.000000,899,1348,0.666914
opponent,cicero_nopress,overall,OVERALL,192,0.140281,0.046875,0.104167,0.296875,0.552083,9,20,57,106,82,293,180,18,0.427083,1.526042,0.937500,0.093750,5570,8539,0.652301
