game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppdipnet_seed0_v2,0,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,50,5,6,7,6,2,4,4,0.137363,0.197802,0.269231,0.197802,0.021978,0.087912,0.087912,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,10,0,0,0,0,0,0,37,80,45,59,22,37,45,104,13,16,16,69,0,72
run_1v6_myFRANCE_myconsistent_oppdipnet_seed1_v2,1,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,48,0,7,4,9,7,7,0,0.000000,0.200820,0.065574,0.331967,0.200820,0.200820,0.000000,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,1,2,1,0,0,0,0,0,14,15,39,65,26,38,42,77,23,49,38,76,13,25
run_1v6_myFRANCE_myconsistent_oppdipnet_seed2_v2,2,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909R,37,5,2,20,5,0,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,31,19,34,42,65,28,52,1,4,6,40,0,35
run_1v6_myFRANCE_myconsistent_oppdipnet_seed3_v2,3,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,36,0,2,18,0,9,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,9,16,22,29,43,18,23,37,43,8,31,16,23
run_1v6_myFRANCE_myconsistent_oppdipnet_seed4_v2,4,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,56,0,0,0,13,0,7,14,0.000000,0.000000,0.000000,0.408213,0.000000,0.118357,0.473430,1,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,14,7,9,34,52,54,83,27,56,17,93,41,76
run_1v6_myFRANCE_myconsistent_oppdipnet_seed5_v2,5,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1911R,51,1,2,19,1,0,7,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,19,36,24,28,50,86,26,27,7,12,30,48,25,33
run_1v6_myFRANCE_myconsistent_oppdipnet_seed6_v2,6,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909R,39,2,0,19,0,6,3,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,19,22,16,26,37,51,10,11,33,44,15,52,31,31
run_1v6_myFRANCE_myconsistent_oppdipnet_seed7_v2,7,1v6,FRANCE,consistent,dipnet,max_phases,F1919M,60,6,0,0,17,10,1,0,0.084507,0.000000,0.000000,0.678404,0.234742,0.002347,0.000000,0,26,0,0,0,2,0,0,0,0,0,0,2,4,1,0,3,25,0,0,0,1,0,0,0,0,0,0,11,197,7,9,17,47,175,336,37,126,14,34,0,18
run_1v6_myFRANCE_myconsistent_oppdipnet_seed8_v2,8,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,35,0,0,18,0,4,5,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,15,19,12,16,32,48,6,13,33,40,7,45,24,26
run_1v6_myFRANCE_myconsistent_oppdipnet_seed9_v2,9,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1907R,31,0,0,18,0,2,4,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,4,6,12,15,24,30,6,14,20,21,2,42,19,39
