game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppdipnet_seed0_v2,0,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1910R,44,6,1,18,0,5,0,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,13,77,25,27,34,57,11,16,25,35,17,21,12,45
run_1v6_myTURKEY_myconsistent_oppdipnet_seed1_v2,1,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1911R,49,3,0,18,0,8,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,1,0,1,2,0,1,0,2,0,0,1,4,0,1,2,1,0,0,2,0,0,0,0,1,0,0,27,58,10,11,50,86,13,39,28,52,32,72,21,23
run_1v6_myTURKEY_myconsistent_oppdipnet_seed2_v2,2,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,55,0,1,10,2,6,11,4,0.000000,0.003597,0.359712,0.014388,0.129496,0.435252,0.057554,1,3,0,0,0,3,1,0,2,3,0,0,0,4,1,1,0,0,0,0,5,2,1,0,0,0,0,0,3,8,11,14,40,55,45,65,44,99,71,129,25,51
run_1v6_myTURKEY_myconsistent_oppdipnet_seed3_v2,3,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1910M,45,1,0,18,0,2,8,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,0,0,0,0,0,15,27,7,9,54,67,12,19,15,36,30,82,19,37
run_1v6_myTURKEY_myconsistent_oppdipnet_seed4_v2,4,1v6,TURKEY,consistent,dipnet,solo_18sc_TURKEY,F1907R,30,0,3,6,6,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,25,12,29,8,61,7,37,11,12,5,9,30,36
run_1v6_myTURKEY_myconsistent_oppdipnet_seed5_v2,5,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1911R,50,0,0,19,0,5,2,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,9,12,10,11,54,97,12,48,22,80,19,75,17,67
run_1v6_myTURKEY_myconsistent_oppdipnet_seed6_v2,6,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,59,0,0,12,0,0,8,14,0.000000,0.000000,0.356436,0.000000,0.000000,0.158416,0.485149,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,18,29,10,14,46,148,12,35,5,13,29,59,42,50
run_1v6_myTURKEY_myconsistent_oppdipnet_seed7_v2,7,1v6,TURKEY,consistent,dipnet,max_phases,F1913R,60,0,0,6,12,0,0,16,0.000000,0.000000,0.082569,0.330275,0.000000,0.000000,0.587156,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28,56,15,17,54,57,59,101,4,10,20,45,52,56
run_1v6_myTURKEY_myconsistent_oppdipnet_seed8_v2,8,1v6,TURKEY,consistent,dipnet,max_phases,F1913R,60,2,0,17,0,0,5,10,0.009569,0.000000,0.691388,0.000000,0.000000,0.059809,0.239234,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,25,56,16,16,77,116,18,28,8,38,37,118,39,53
run_1v6_myTURKEY_myconsistent_oppdipnet_seed9_v2,9,1v6,TURKEY,consistent,dipnet,solo_18sc_ITALY,F1911R,51,0,10,1,4,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,4,0,0,1,4,0,0,1,3,0,0,1,3,0,0,0,2,0,0,1,1,0,0,0,0,0,0,11,19,62,83,19,51,22,43,63,73,16,23,2,9
