game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed0_v6,0,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,9,8,6,7,4,0.000000,0.000000,0.329268,0.260163,0.146341,0.199187,0.065041,2,5,0,1,0,1,0,0,1,2,0,0,2,7,1,0,3,3,0,0,1,6,0,0,0,0,0,0,6,13,13,19,48,80,31,96,34,56,37,81,33,78
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed0_v6,0,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,9,8,6,7,4,0.000000,0.000000,0.329268,0.260163,0.146341,0.199187,0.065041,2,5,0,1,0,1,0,0,1,2,0,0,2,7,1,0,3,3,0,0,1,6,0,0,0,0,0,0,6,13,13,19,48,80,31,96,34,56,37,81,33,78
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed1_v6,1,1v6,TURKEY,consistent,searchbot,solo_18sc_TURKEY,F1913M,56,0,0,9,3,0,4,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,1,0,1,0,0,0,5,1,0,0,4,0,0,3,7,1,0,0,4,0,0,0,3,0,0,21,36,8,18,48,62,31,42,7,14,47,73,50,66
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed1_v6,1,1v6,TURKEY,consistent,searchbot,solo_18sc_TURKEY,F1913R,58,0,0,3,4,0,7,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,1,0,0,1,6,1,0,2,7,0,1,1,4,1,0,2,10,0,0,0,1,0,0,19,35,8,18,36,62,25,41,6,11,46,73,54,73
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed2_v6,2,1v6,TURKEY,consistent,searchbot,max_phases,F1913R,60,0,0,17,2,8,7,0,0.000000,0.000000,0.711823,0.009852,0.157635,0.120690,0.000000,0,1,0,0,1,3,1,0,0,7,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,5,29,44,40,65,26,69,62,73,50,85,9,18
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed3_v6,3,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1911R,52,0,0,18,1,6,2,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,1,0,0,2,0,0,2,4,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,4,3,9,36,65,36,49,32,65,27,56,21,62
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed2_v6,2,1v6,TURKEY,consistent,searchbot,max_phases,F1913R,60,0,0,17,2,8,7,0,0.000000,0.000000,0.711823,0.009852,0.157635,0.120690,0.000000,0,1,0,0,1,3,1,0,0,7,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,5,29,44,40,65,26,69,62,73,50,85,9,18
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed3_v6,3,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1911R,52,0,0,18,1,6,2,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,1,0,0,2,0,0,2,4,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,4,3,9,36,65,36,49,32,65,27,56,21,62
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed4_v6,4,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,59,0,0,11,7,1,5,10,0.000000,0.000000,0.408784,0.165541,0.003378,0.084459,0.337838,1,5,0,1,0,5,1,0,1,2,2,0,0,2,1,0,1,4,0,1,0,2,0,0,0,3,3,0,4,12,5,22,38,82,38,72,24,49,23,99,49,70
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed4_v6,4,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,59,0,0,11,7,1,5,10,0.000000,0.000000,0.408784,0.165541,0.003378,0.084459,0.337838,1,5,0,1,0,5,1,0,1,2,2,0,0,2,1,0,1,4,0,1,0,2,0,0,0,3,3,0,4,12,5,22,38,82,38,72,24,49,23,99,49,70
