game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,AUSTRIA,dipnet,cicero_nopress,solo_18sc_ITALY,F1910M,45,0,1,0,13,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,13,17,19,48,59,48,80,17,32,7,26
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,AUSTRIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,0,17,17,0,0,0.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,11,22,23,98,131,70,139,6,12,13,29
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,AUSTRIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,0,2,0,1,15,15,1,0.000000,0.008772,0.000000,0.002193,0.493421,0.493421,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,7,8,9,20,46,55,57,99,52,93,13,56
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,AUSTRIA,dipnet,cicero_nopress,max_phases,F1913M,60,0,0,5,15,6,0,8,0.000000,0.000000,0.071429,0.642857,0.102857,0.000000,0.182857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,19,25,48,66,55,125,39,51,12,23,37,55
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,AUSTRIA,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910R,45,0,0,18,0,16,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,12,15,52,58,13,23,51,58,16,21,10,21
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,AUSTRIA,dipnet,cicero_nopress,solo_18sc_FRANCE,F1909R,42,0,0,18,0,6,3,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,15,44,57,12,22,38,43,20,35,19,26
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,AUSTRIA,dipnet,cicero_nopress,max_phases,S1914R,60,0,0,16,2,0,0,16,0.000000,0.000000,0.496124,0.007752,0.000000,0.000000,0.496124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,12,69,90,40,58,37,47,7,14,84,115
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,AUSTRIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,0,13,6,0,0,15,0,0.000000,0.393023,0.083721,0.000000,0.000000,0.523256,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,62,91,36,51,11,25,19,23,41,64,21,31
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,AUSTRIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,0,3,7,8,16,0,0,0.000000,0.023810,0.129630,0.169312,0.677249,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,29,32,27,38,33,45,54,84,5,21,15,21
run_1v6_myAUSTRIA_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,AUSTRIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,5,12,17,0,0,0.000000,0.000000,0.054585,0.314410,0.631004,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,15,20,24,32,70,92,53,79,18,23,15,30
