game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_ENGLAND,F1912R,55,0,18,3,0,0,10,3,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,51,58,47,56,9,40,10,13,34,50,24,31
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,GERMANY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,8,0,11,15,0,0.000000,0.000000,0.156098,0.000000,0.295122,0.548780,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,20,36,48,104,18,33,56,67,92,129,4,14
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_ENGLAND,F1913R,56,0,18,0,0,3,0,13,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,88,114,15,17,6,16,26,51,8,13,55,82
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_RUSSIA,F1909R,40,2,2,7,0,3,20,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,16,23,23,29,16,21,15,17,36,49,7,7
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_ITALY,F1912R,56,0,5,8,0,20,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,25,27,50,62,15,22,61,67,17,29,17,28
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910R,46,0,0,20,0,7,6,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,6,25,41,65,19,37,39,55,27,42,6,21
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1911R,49,0,0,18,0,3,6,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,8,12,63,72,24,39,22,31,37,69,15,31
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,GERMANY,dipnet,cicero_nopress,max_phases,F1913R,60,0,0,17,0,17,0,0,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,16,24,57,74,7,25,61,89,19,36,11,15
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,GERMANY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,0,10,9,0,15,0,0,0.000000,0.246305,0.199507,0.000000,0.554187,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,48,72,37,78,11,16,55,67,19,30,12,16
run_1v6_myGERMANY_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,GERMANY,dipnet,cicero_nopress,solo_18sc_ENGLAND,F1911R,50,3,18,0,0,6,0,7,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,77,64,84,32,36,7,18,30,33,6,9,30,39
