game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_TURKEY,F1911R,51,0,6,2,3,0,5,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,30,37,9,11,19,32,20,35,23,50,40,64
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,ITALY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,17,12,5,0,0,0,0,0.631004,0.314410,0.054585,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,129,45,63,33,40,36,47,18,24,7,17,6,12
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1909R,40,0,0,18,4,1,11,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,22,35,39,34,47,12,23,42,65,14,22
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1912R,56,1,2,21,7,0,3,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,45,21,28,65,72,53,75,9,9,10,24,5,10
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_GERMANY,F1911R,50,5,1,1,18,3,0,6,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,63,16,16,17,30,55,80,10,26,14,26,24,34
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,ITALY,dipnet,cicero_nopress,max_phases,F1913R,60,0,11,0,6,0,0,17,0.000000,0.271300,0.000000,0.080717,0.000000,0.000000,0.647982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,52,73,18,20,27,67,12,15,5,10,79,104
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_TURKEY,F1911R,51,0,0,3,12,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,11,13,29,38,43,91,16,22,12,21,54,66
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,ITALY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1913R,57,5,0,19,0,1,0,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,27,39,65,84,9,18,29,69,11,19,51,72
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,ITALY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,57,0,4,14,0,8,0,8,0.000000,0.047059,0.576471,0.000000,0.188235,0.000000,0.188235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,36,50,37,49,28,32,28,42,36,52,37,56
run_1v6_myITALY_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,ITALY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,4,2,13,0,4,5,6,0.060150,0.015038,0.635338,0.000000,0.060150,0.093985,0.135338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,28,41,43,60,23,38,17,41,20,40,33,64
