game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,RUSSIA,dipnet,cicero_nopress,solo_18sc_GERMANY,F1912M,51,0,0,4,18,8,0,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,14,30,67,87,121,44,91,5,14,19,57
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,RUSSIA,dipnet,cicero_nopress,max_phases,F1913M,60,2,0,0,15,17,0,0,0.007722,0.000000,0.000000,0.434363,0.557915,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,46,28,37,15,22,54,99,59,107,13,18,5,14
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,RUSSIA,dipnet,cicero_nopress,solo_18sc_ITALY,F1911M,48,0,2,9,1,19,0,3,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,13,21,29,37,25,34,49,60,12,23,25,40
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,RUSSIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,57,0,3,3,8,4,0,16,0.000000,0.025424,0.025424,0.180791,0.045198,0.000000,0.723164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,22,35,20,33,49,75,29,41,13,48,55,68
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,RUSSIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,6,6,17,5,0,0.000000,0.000000,0.093264,0.093264,0.748705,0.064767,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,16,20,25,29,37,50,62,85,31,76,4,7
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,RUSSIA,dipnet,cicero_nopress,solo_18sc_ITALY,F1911R,48,0,3,4,6,18,2,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,14,26,29,31,26,33,43,55,15,36,12,19
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,RUSSIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,1,17,4,0,0,0,12,0.002222,0.642222,0.035556,0.000000,0.000000,0.000000,0.320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,56,73,82,45,55,31,43,14,18,7,15,35,46
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,RUSSIA,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,3,14,2,0,4,0,11,0.026012,0.566474,0.011561,0.000000,0.046243,0.000000,0.349711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,66,93,29,48,28,32,35,66,9,18,46,57
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,RUSSIA,dipnet,cicero_nopress,solo_18sc_GERMANY,F1913R,57,0,0,0,18,16,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,12,17,31,41,66,123,31,98,10,16,8,18
run_1v6_myRUSSIA_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,RUSSIA,dipnet,cicero_nopress,solo_18sc_ITALY,F1910R,43,0,8,3,0,18,5,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,28,37,35,47,9,40,49,61,15,44,8,13
