game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1909R,40,0,0,18,0,4,12,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,8,48,63,16,21,22,25,37,45,1,10
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_ENGLAND,F1913R,57,16,18,0,0,0,0,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,81,69,115,25,38,19,29,20,28,7,12,7,18
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,TURKEY,dipnet,cicero_nopress,max_phases,F1913M,60,0,0,0,16,9,9,0,0.000000,0.000000,0.000000,0.612440,0.193780,0.193780,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,41,4,4,21,26,70,112,57,80,36,68,2,9
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910M,41,4,0,18,0,7,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,6,8,58,64,21,30,29,39,25,38,0,13
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_ITALY,F1912R,54,0,0,2,14,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,18,19,11,41,76,90,78,106,7,14,8,15
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_ENGLAND,F1913R,59,3,18,0,0,4,2,7,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,65,76,82,22,29,14,16,13,28,23,40,31,58
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910R,46,4,0,19,1,0,4,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,5,6,53,70,17,26,11,14,14,29,21,25
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,TURKEY,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,8,10,11,0,0,5,0,0.206452,0.322581,0.390323,0.000000,0.000000,0.080645,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,60,52,61,54,74,18,24,20,24,38,56,11,13
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,TURKEY,dipnet,cicero_nopress,solo_18sc_FRANCE,F1911R,47,3,1,21,0,2,7,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,15,26,49,58,15,19,30,39,28,46,0,17
run_1v6_myTURKEY_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,TURKEY,dipnet,cicero_nopress,max_phases,F1913R,60,16,9,0,7,2,0,0,0.656410,0.207692,0.000000,0.125641,0.010256,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,78,45,74,5,6,47,84,17,23,8,18,14,21
