game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed0_v2,0,1v6,AUSTRIA,dipnet,consistent,stop_after_W1913A,W1913A,60,0,8,8,1,5,5,7,0.000000,0.280702,0.280702,0.004386,0.109649,0.109649,0.214912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,41,56,25,56,33,45,24,41,43,86,43,62
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed1_v2,1,1v6,AUSTRIA,dipnet,consistent,max_phases,S1914M,60,0,3,6,7,2,9,7,0.000000,0.039474,0.157895,0.214912,0.017544,0.355263,0.214912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,39,61,24,37,43,67,42,58,44,79,41,61
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed2_v2,2,1v6,AUSTRIA,dipnet,consistent,solo_18sc_ITALY,F1912R,53,0,1,8,0,19,6,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,18,23,37,40,63,20,28,63,93,25,40,18,45
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed3_v2,3,1v6,AUSTRIA,dipnet,consistent,max_phases,F1913R,60,0,8,8,0,14,1,3,0.000000,0.191617,0.191617,0.000000,0.586826,0.002994,0.026946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,30,41,38,72,16,72,48,70,26,35,38,71
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed4_v2,4,1v6,AUSTRIA,dipnet,consistent,max_phases,F1913M,60,0,4,9,8,0,7,6,0.000000,0.065041,0.329268,0.260163,0.000000,0.199187,0.146341,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,21,32,41,29,46,44,54,19,34,41,73,41,51
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed5_v2,5,1v6,AUSTRIA,dipnet,consistent,stop_after_W1913A,W1913A,59,0,8,0,10,0,15,1,0.000000,0.164103,0.000000,0.256410,0.000000,0.576923,0.002564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,34,61,16,22,43,81,13,26,64,72,21,52
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed6_v2,6,1v6,AUSTRIA,dipnet,consistent,stop_after_W1913A,W1913A,57,0,0,6,13,9,6,0,0.000000,0.000000,0.111801,0.524845,0.251553,0.111801,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,26,40,72,60,87,38,51,44,104,24,46
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed7_v2,7,1v6,AUSTRIA,dipnet,consistent,max_phases,S1915M,60,0,0,11,5,10,5,3,0.000000,0.000000,0.432143,0.089286,0.357143,0.089286,0.032143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,41,10,21,53,91,39,95,56,80,41,70,33,59
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed9_v2,9,1v6,AUSTRIA,dipnet,consistent,stop_after_W1913A,W1913A,60,0,0,0,12,0,9,13,0.000000,0.000000,0.000000,0.365482,0.000000,0.205584,0.428934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,15,16,11,15,63,95,12,13,49,114,42,88
run_1v6_myAUSTRIA_mydipnet_oppconsistent_seed8_v2,8,1v6,AUSTRIA,dipnet,consistent,stop_after_W1913A,W1913A,55,0,4,10,5,0,6,9,0.000000,0.062016,0.387597,0.096899,0.000000,0.139535,0.313953,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,13,26,57,43,59,32,63,9,33,40,75,46,98
