game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mydipnet_oppconsistent_seed0_v2,0,1v6,GERMANY,dipnet,consistent,max_phases,F1913R,60,0,8,10,0,15,1,0,0.000000,0.164103,0.256410,0.000000,0.576923,0.002564,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,45,52,33,42,22,41,49,67,33,55,32,57
run_1v6_myGERMANY_mydipnet_oppconsistent_seed1_v2,1,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,60,0,0,12,1,1,12,8,0.000000,0.000000,0.406780,0.002825,0.002825,0.406780,0.180791,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,15,16,49,98,10,26,30,46,74,117,45,80
run_1v6_myGERMANY_mydipnet_oppconsistent_seed2_v2,2,1v6,GERMANY,dipnet,consistent,max_phases,F1915M,60,0,0,17,0,10,0,7,0.000000,0.000000,0.659817,0.000000,0.228311,0.000000,0.111872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,11,100,114,15,22,58,121,31,47,37,68
run_1v6_myGERMANY_mydipnet_oppconsistent_seed3_v2,3,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,52,5,7,7,0,5,5,5,0.126263,0.247475,0.247475,0.000000,0.126263,0.126263,0.126263,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,89,38,54,41,94,11,16,20,89,27,40,42,69
run_1v6_myGERMANY_mydipnet_oppconsistent_seed4_v2,4,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,59,0,0,17,0,0,10,7,0.000000,0.000000,0.659817,0.000000,0.000000,0.228311,0.111872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,10,14,60,79,13,40,30,68,69,98,26,32
run_1v6_myGERMANY_mydipnet_oppconsistent_seed5_v2,5,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,58,0,1,7,0,1,13,12,0.000000,0.002747,0.134615,0.000000,0.002747,0.464286,0.395604,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,28,54,19,23,28,46,31,53,31,137,43,88
run_1v6_myGERMANY_mydipnet_oppconsistent_seed6_v2,6,1v6,GERMANY,dipnet,consistent,max_phases,F1913R,60,0,7,1,0,13,7,6,0.000000,0.161184,0.003289,0.000000,0.555921,0.161184,0.118421,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,53,75,37,51,6,9,53,61,47,79,42,48
run_1v6_myGERMANY_mydipnet_oppconsistent_seed7_v2,7,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,57,0,5,9,0,12,7,1,0.000000,0.083333,0.270000,0.000000,0.480000,0.163333,0.003333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,13,41,57,39,72,14,17,49,81,39,64,34,42
run_1v6_myGERMANY_mydipnet_oppconsistent_seed8_v2,8,1v6,GERMANY,dipnet,consistent,max_phases,F1913M,60,0,0,10,0,4,11,9,0.000000,0.000000,0.314465,0.000000,0.050314,0.380503,0.254717,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,12,62,76,10,14,29,51,83,143,56,78
run_1v6_myGERMANY_mydipnet_oppconsistent_seed9_v2,9,1v6,GERMANY,dipnet,consistent,stop_after_W1913A,W1913A,58,0,6,8,2,4,10,4,0.000000,0.152542,0.271186,0.016949,0.067797,0.423729,0.067797,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,35,57,29,56,23,41,32,70,49,76,19,45
