game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mydipnet_oppconsistent_seed0_v2,0,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,56,0,6,7,7,2,10,2,0.000000,0.148760,0.202479,0.202479,0.016529,0.413223,0.016529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,24,38,79,23,50,43,54,23,47,43,67,25,40
run_1v6_myITALY_mydipnet_oppconsistent_seed1_v2,1,1v6,ITALY,dipnet,consistent,max_phases,F1913M,60,0,6,11,1,0,0,16,0.000000,0.086957,0.292271,0.002415,0.000000,0.000000,0.618357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,45,68,66,94,19,38,9,21,10,25,53,74
run_1v6_myITALY_mydipnet_oppconsistent_seed2_v2,2,1v6,ITALY,dipnet,consistent,max_phases,F1913R,60,9,0,10,7,6,0,2,0.300000,0.000000,0.370370,0.181481,0.133333,0.000000,0.014815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,68,24,36,40,67,33,80,23,58,11,21,21,53
run_1v6_myITALY_mydipnet_oppconsistent_seed3_v2,3,1v6,ITALY,dipnet,consistent,max_phases,S1917M,60,0,0,12,3,0,2,17,0.000000,0.000000,0.322870,0.020179,0.000000,0.008969,0.647982,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,12,9,10,37,183,32,98,17,20,18,50,167,185
run_1v6_myITALY_mydipnet_oppconsistent_seed4_v2,4,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,58,0,6,10,0,0,6,12,0.000000,0.113924,0.316456,0.000000,0.000000,0.113924,0.455696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,1,0,0,0,2,0,0,7,12,35,48,46,68,13,63,12,36,46,110,40,73
run_1v6_myITALY_mydipnet_oppconsistent_seed5_v2,5,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,57,0,1,0,7,0,12,14,0.000000,0.002564,0.000000,0.125641,0.000000,0.369231,0.502564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,34,35,12,14,51,63,6,7,48,124,61,118
run_1v6_myITALY_mydipnet_oppconsistent_seed6_v2,6,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,59,1,7,8,2,2,6,8,0.004505,0.220721,0.288288,0.018018,0.018018,0.162162,0.288288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,51,37,70,34,40,40,45,17,32,32,43,31,53
run_1v6_myITALY_mydipnet_oppconsistent_seed7_v2,7,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,58,0,3,5,7,1,10,8,0.000000,0.036290,0.100806,0.197581,0.004032,0.403226,0.258065,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,48,15,49,24,54,52,92,22,35,40,77,41,87
run_1v6_myITALY_mydipnet_oppconsistent_seed8_v2,8,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,57,0,10,4,3,0,0,17,0.000000,0.241546,0.038647,0.021739,0.000000,0.000000,0.698068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,44,78,23,37,48,73,32,34,15,34,69,89
run_1v6_myITALY_mydipnet_oppconsistent_seed9_v2,9,1v6,ITALY,dipnet,consistent,stop_after_W1913A,W1913A,56,3,5,11,9,0,0,6,0.033088,0.091912,0.444853,0.297794,0.000000,0.000000,0.132353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,72,15,44,42,78,24,111,10,19,15,17,26,52
