game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mydipnet_oppconsistent_seed0_v2,0,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,57,0,9,8,0,5,6,6,0.000000,0.334711,0.264463,0.000000,0.103306,0.148760,0.148760,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,35,52,26,34,24,79,45,85,35,87,35,55
run_1v6_myTURKEY_mydipnet_oppconsistent_seed1_v2,1,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,59,0,0,9,7,5,13,0,0.000000,0.000000,0.250000,0.151235,0.077160,0.521605,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,12,22,37,74,42,83,46,76,56,93,29,37
run_1v6_myTURKEY_mydipnet_oppconsistent_seed2_v2,2,1v6,TURKEY,dipnet,consistent,max_phases,F1914M,60,0,7,5,7,15,0,0,0.000000,0.140805,0.071839,0.140805,0.646552,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,50,63,21,75,45,55,91,112,8,16,16,20
run_1v6_myTURKEY_mydipnet_oppconsistent_seed3_v2,3,1v6,TURKEY,dipnet,consistent,max_phases,S1916R,60,0,9,9,0,0,16,0,0.000000,0.193780,0.193780,0.000000,0.000000,0.612440,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,4,70,88,65,97,19,35,10,18,74,196,11,28
run_1v6_myTURKEY_mydipnet_oppconsistent_seed4_v2,4,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,57,0,4,0,5,10,11,4,0.000000,0.057554,0.000000,0.089928,0.359712,0.435252,0.057554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,32,36,12,19,20,56,47,65,63,155,46,47
run_1v6_myTURKEY_mydipnet_oppconsistent_seed5_v2,5,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,56,9,16,1,0,4,3,1,0.222527,0.703297,0.002747,0.000000,0.043956,0.024725,0.002747,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,85,77,99,17,19,13,21,32,54,22,71,34,40
run_1v6_myTURKEY_mydipnet_oppconsistent_seed6_v2,6,1v6,TURKEY,dipnet,consistent,max_phases,S1913R,60,0,10,0,0,14,10,0,0.000000,0.252525,0.000000,0.000000,0.494949,0.252525,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,56,77,18,20,14,22,61,88,55,77,33,63
run_1v6_myTURKEY_mydipnet_oppconsistent_seed7_v2,7,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,59,0,9,7,0,16,2,0,0.000000,0.207692,0.125641,0.000000,0.656410,0.010256,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,4,6,48,68,39,58,18,43,61,89,30,52,21,66
run_1v6_myTURKEY_mydipnet_oppconsistent_seed8_v2,8,1v6,TURKEY,dipnet,consistent,solo_18sc_RUSSIA,F1912M,55,0,4,4,2,5,18,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,15,30,37,22,25,26,38,35,41,59,88,33,56
run_1v6_myTURKEY_mydipnet_oppconsistent_seed9_v2,9,1v6,TURKEY,dipnet,consistent,stop_after_W1913A,W1913A,60,4,8,6,0,12,4,0,0.057971,0.231884,0.130435,0.000000,0.521739,0.057971,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,39,65,47,61,42,70,15,24,41,49,44,60,10,32
