game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed1_v1,1,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_FRANCE,F1912R,54,0,0,20,3,0,0,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,6,10,52,71,29,38,45,60,5,7,69,95
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed2_v1,2,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_FRANCE,F1908R,36,0,0,18,0,2,8,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,9,45,54,16,22,17,32,28,61,23,37
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed3_v1,3,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_FRANCE,F1910R,45,0,0,21,1,12,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,8,10,47,61,20,30,45,57,13,25,16,44
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed0_v1,0,1v6,AUSTRIA,dipnet,searchbot,stop_after_W1913A,W1913A,58,0,1,13,0,2,9,9,0.000000,0.002976,0.502976,0.000000,0.011905,0.241071,0.241071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,26,39,46,96,16,36,34,58,21,45,51,85
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed4_v1,4,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_FRANCE,F1909R,41,0,1,19,0,7,3,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,9,14,43,47,15,20,25,50,28,46,21,33
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed6_v1,6,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_FRANCE,F1908R,36,0,0,18,0,1,4,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9,17,32,46,6,12,19,28,17,37,22,36
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed5_v1,5,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_TURKEY,F1910M,40,0,0,4,8,1,2,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,10,16,11,29,30,59,14,17,20,42,53,63
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed7_v1,7,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_TURKEY,F1911R,48,0,0,3,13,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,5,11,25,56,39,79,11,12,6,8,64,73
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed8_v1,8,1v6,AUSTRIA,dipnet,searchbot,solo_18sc_ITALY,F1911R,49,0,1,0,1,20,5,7,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,19,26,7,17,22,33,46,67,27,68,27,66
run_1v6_myAUSTRIA_mydipnet_oppsearchbot_seed9_v1,9,1v6,AUSTRIA,dipnet,searchbot,stop_after_W1913A,W1913A,57,0,0,13,3,4,8,6,0.000000,0.000000,0.574830,0.030612,0.054422,0.217687,0.122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,10,10,56,77,34,72,41,112,32,103,26,64
