game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mydipnet_oppsearchbot_seed0_v1,0,1v6,ITALY,dipnet,searchbot,solo_18sc_FRANCE,F1909R,38,2,0,18,2,2,1,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,17,23,37,38,17,21,9,11,22,34,28,36
run_1v6_myITALY_mydipnet_oppsearchbot_seed1_v1,1,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,59,0,0,10,8,0,0,16,0.000000,0.000000,0.238095,0.152381,0.000000,0.000000,0.609524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,5,7,46,106,50,99,23,27,28,63,67,82
run_1v6_myITALY_mydipnet_oppsearchbot_seed2_v1,2,1v6,ITALY,dipnet,searchbot,max_phases,S1914M,60,15,0,5,13,1,0,0,0.535714,0.000000,0.059524,0.402381,0.002381,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,132,13,15,30,66,43,126,33,60,11,20,6,12
run_1v6_myITALY_mydipnet_oppsearchbot_seed3_v1,3,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,60,15,0,17,0,2,0,0,0.434363,0.000000,0.557915,0.000000,0.007722,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,101,6,7,51,83,35,59,29,49,10,24,5,15
run_1v6_myITALY_mydipnet_oppsearchbot_seed4_v1,4,1v6,ITALY,dipnet,searchbot,max_phases,F1913R,60,0,0,11,0,0,6,17,0.000000,0.000000,0.271300,0.000000,0.000000,0.080717,0.647982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,15,38,113,23,58,13,22,51,105,80,100
run_1v6_myITALY_mydipnet_oppsearchbot_seed5_v1,5,1v6,ITALY,dipnet,searchbot,solo_18sc_FRANCE,F1910R,42,2,0,20,0,5,5,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,50,9,19,47,54,22,25,27,41,15,86,27,31
run_1v6_myITALY_mydipnet_oppsearchbot_seed6_v1,6,1v6,ITALY,dipnet,searchbot,solo_18sc_AUSTRIA,F1913M,56,18,0,10,6,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,99,8,14,42,91,58,130,8,11,28,36,2,5
run_1v6_myITALY_mydipnet_oppsearchbot_seed7_v1,7,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,57,0,0,15,2,1,15,1,0.000000,0.000000,0.493421,0.008772,0.002193,0.493421,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,7,7,62,86,35,67,30,46,59,99,11,23
run_1v6_myITALY_mydipnet_oppsearchbot_seed8_v1,8,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,57,0,0,2,0,0,16,16,0.000000,0.000000,0.007752,0.000000,0.000000,0.496124,0.496124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,12,37,51,24,42,10,14,51,137,47,63
run_1v6_myITALY_mydipnet_oppsearchbot_seed9_v1,9,1v6,ITALY,dipnet,searchbot,max_phases,F1913R,60,5,0,9,8,5,3,4,0.113636,0.000000,0.368182,0.290909,0.113636,0.040909,0.072727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,11,21,44,100,38,93,40,58,26,51,12,55
run_1v6_myITALY_mydipnet_oppsearchbot_seed0_v1,0,1v6,ITALY,dipnet,searchbot,solo_18sc_FRANCE,F1909R,38,2,0,18,2,2,1,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,17,23,37,38,17,21,9,11,22,34,28,36
run_1v6_myITALY_mydipnet_oppsearchbot_seed1_v1,1,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,59,0,0,10,8,0,0,16,0.000000,0.000000,0.238095,0.152381,0.000000,0.000000,0.609524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,5,7,46,106,50,99,23,27,28,63,67,82
run_1v6_myITALY_mydipnet_oppsearchbot_seed2_v1,2,1v6,ITALY,dipnet,searchbot,max_phases,S1914M,60,15,0,5,13,1,0,0,0.535714,0.000000,0.059524,0.402381,0.002381,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,132,13,15,30,66,43,126,33,60,11,20,6,12
run_1v6_myITALY_mydipnet_oppsearchbot_seed3_v1,3,1v6,ITALY,dipnet,searchbot,stop_after_W1913A,W1913A,60,15,0,17,0,2,0,0,0.434363,0.000000,0.557915,0.000000,0.007722,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,101,6,7,51,83,35,59,29,49,10,24,5,15
