game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed0_v1,0,1v6,RUSSIA,dipnet,searchbot,max_phases,F1913M,60,0,0,7,16,0,0,11,0.000000,0.000000,0.115023,0.600939,0.000000,0.000000,0.284038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,20,38,25,67,65,120,17,17,16,27,57,106
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed1_v1,1,1v6,RUSSIA,dipnet,searchbot,solo_18sc_FRANCE,F1911R,51,0,0,21,1,4,2,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,5,10,53,78,25,46,39,65,26,41,28,42
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed2_v1,2,1v6,RUSSIA,dipnet,searchbot,solo_18sc_GERMANY,F1909R,38,5,0,4,18,4,0,3,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,55,9,14,16,19,44,67,13,37,5,30,16,25
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed3_v1,3,1v6,RUSSIA,dipnet,searchbot,solo_18sc_FRANCE,F1908R,36,0,0,18,3,7,3,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,38,48,16,53,35,54,11,34,18,21
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed4_v1,4,1v6,RUSSIA,dipnet,searchbot,stop_after_W1913A,W1913A,60,0,11,5,0,9,4,5,0.000000,0.451493,0.093284,0.000000,0.302239,0.059701,0.093284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,50,73,32,54,19,46,38,50,26,64,20,33
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed6_v1,6,1v6,RUSSIA,dipnet,searchbot,stop_after_W1913A,W1913A,60,0,0,12,4,0,1,17,0.000000,0.000000,0.320000,0.035556,0.000000,0.002222,0.642222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,3,14,73,121,37,109,7,14,12,16,95,116
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed5_v1,5,1v6,RUSSIA,dipnet,searchbot,stop_after_W1913A,W1913A,60,0,7,6,4,16,1,0,0.000000,0.136872,0.100559,0.044693,0.715084,0.002793,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,33,39,41,67,31,61,59,80,30,65,17,40
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed7_v1,7,1v6,RUSSIA,dipnet,searchbot,stop_after_W1913A,W1913A,53,0,0,7,12,14,0,1,0.000000,0.000000,0.125641,0.369231,0.502564,0.000000,0.002564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,12,46,75,42,115,70,101,18,21,26,86
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed9_v1,9,1v6,RUSSIA,dipnet,searchbot,solo_18sc_GERMANY,F1911R,52,0,0,2,18,5,0,9,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,3,11,17,40,61,82,31,41,12,34,39,62
run_1v6_myRUSSIA_mydipnet_oppsearchbot_seed8_v1,8,1v6,RUSSIA,dipnet,searchbot,stop_after_W1913A,W1913A,58,0,0,12,5,6,7,4,0.000000,0.000000,0.533333,0.092593,0.133333,0.181481,0.059259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,23,44,59,19,31,37,123,11,73,19,64
