side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,dipnet,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,0,0,0,0.000000,0.000000,0.000000,0.000000,74,192,0.385417
self,dipnet,per_power,ENGLAND,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,0,0,0,0.000000,0.000000,0.000000,0.000000,111,138,0.804348
self,dipnet,per_power,FRANCE,10,0.052684,0.000000,0.100000,0.200000,0.700000,0,1,2,7,0,0,0,0,0.000000,0.000000,0.000000,0.000000,268,386,0.694301
self,dipnet,per_power,GERMANY,10,0.009399,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,168,376,0.446809
self,dipnet,per_power,ITALY,10,0.012593,0.000000,0.000000,0.400000,0.600000,0,0,4,6,0,0,0,0,0.000000,0.000000,0.000000,0.000000,222,339,0.654867
self,dipnet,per_power,RUSSIA,10,0.024620,0.000000,0.000000,0.400000,0.600000,0,0,4,6,0,0,0,0,0.000000,0.000000,0.000000,0.000000,167,405,0.412346
self,dipnet,per_power,TURKEY,10,0.006557,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,194,511,0.379648
opponent,searchbot,per_power,AUSTRIA,60,0.066011,0.033333,0.033333,0.133333,0.800000,2,2,8,48,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1101,2134,0.515933
opponent,searchbot,per_power,ENGLAND,60,0.023691,0.000000,0.033333,0.100000,0.866667,0,2,6,52,0,0,0,0,0.000000,0.000000,0.000000,0.000000,904,1485,0.608754
opponent,searchbot,per_power,FRANCE,60,0.513920,0.383333,0.166667,0.250000,0.200000,23,10,15,12,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2469,3987,0.619263
opponent,searchbot,per_power,GERMANY,60,0.132105,0.066667,0.066667,0.250000,0.616667,4,4,15,37,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1778,3412,0.521102
opponent,searchbot,per_power,ITALY,60,0.157638,0.100000,0.033333,0.250000,0.616667,6,2,15,37,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1741,2979,0.584424
opponent,searchbot,per_power,RUSSIA,60,0.089959,0.016667,0.100000,0.200000,0.683333,1,6,12,41,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1545,3654,0.422824
opponent,searchbot,per_power,TURKEY,60,0.165701,0.066667,0.116667,0.216667,0.600000,4,7,13,36,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1903,2961,0.642688
self,dipnet,overall,OVERALL,70,0.015122,0.000000,0.014286,0.171429,0.814286,0,1,12,57,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1204,2347,0.512995
opponent,searchbot,overall,OVERALL,420,0.164146,0.095238,0.078571,0.200000,0.626190,40,33,84,263,0,0,0,0,0.000000,0.000000,0.000000,0.000000,11441,20612,0.555065
