game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed2_v1,2,1v6,AUSTRIA,searchbot,consistent,solo_18sc_RUSSIA,F1911R,46,0,0,11,0,4,18,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,6,40,52,23,36,28,72,76,96,6,11
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed3_v1,3,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,59,0,2,3,6,17,6,0,0.000000,0.010695,0.024064,0.096257,0.772727,0.096257,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,7,14,26,39,60,80,72,121,37,57,1,1
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed0_v1,0,1v6,AUSTRIA,searchbot,consistent,max_phases,F1916M,60,0,0,11,6,17,0,0,0.000000,0.000000,0.271300,0.080717,0.647982,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,9,12,71,84,47,59,120,130,28,46,9,16
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed1_v1,1,1v6,AUSTRIA,searchbot,consistent,solo_18sc_GERMANY,F1913R,55,1,3,6,18,4,0,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,67,15,20,37,64,81,134,10,30,12,15,16,34
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed5_v1,5,1v6,AUSTRIA,searchbot,consistent,max_phases,F1913M,60,0,0,7,0,16,11,0,0.000000,0.000000,0.115023,0.000000,0.600939,0.284038,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,14,6,9,28,42,34,39,59,97,50,118,18,48
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed4_v1,4,1v6,AUSTRIA,searchbot,consistent,solo_18sc_ITALY,F1913M,57,0,2,7,0,19,6,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,20,25,13,19,44,70,13,18,58,72,41,61,4,24
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed7_v1,7,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,58,0,11,0,0,9,14,0,0.000000,0.304020,0.000000,0.000000,0.203518,0.492462,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,37,51,4,6,26,33,49,88,68,106,18,25
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed6_v1,6,1v6,AUSTRIA,searchbot,consistent,max_phases,F1913R,60,0,2,0,12,2,1,17,0.000000,0.009050,0.000000,0.325792,0.009050,0.002262,0.653846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,26,24,28,18,20,81,100,21,26,8,23,62,108
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed9_v1,9,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,57,0,0,12,0,17,5,0,0.000000,0.000000,0.314410,0.000000,0.631004,0.054585,0.000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,12,5,5,59,125,10,17,78,109,23,56,9,25
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed8_v1,8,1v6,AUSTRIA,searchbot,consistent,solo_18sc_TURKEY,F1912R,55,0,7,5,2,0,2,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,17,20,30,63,30,52,24,29,23,51,63,79
