game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed1_v1,1,1v6,ENGLAND,searchbot,consistent,solo_18sc_RUSSIA,F1911R,48,0,0,13,3,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,21,28,39,53,23,53,20,31,51,77,14,22
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed0_v1,0,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,59,2,8,7,5,0,6,6,0.018692,0.299065,0.228972,0.116822,0.000000,0.168224,0.168224,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,55,69,38,55,43,58,6,10,44,69,23,40
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed2_v1,2,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,55,13,0,0,10,11,0,0,0.433333,0.000000,0.000000,0.256410,0.310256,0.000000,0.000000,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,103,2,2,13,13,70,81,38,94,34,52,1,7
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed3_v1,3,1v6,ENGLAND,searchbot,consistent,max_phases,F1913M,60,15,0,0,4,15,0,0,0.482833,0.000000,0.000000,0.034335,0.482833,0.000000,0.000000,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,54,66,1,4,17,27,40,55,46,71,23,33,6,7
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed5_v1,5,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,56,12,0,0,17,5,0,0,0.314410,0.000000,0.000000,0.631004,0.054585,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,69,86,5,6,20,27,48,120,36,45,14,30,4,7
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed4_v1,4,1v6,ENGLAND,searchbot,consistent,solo_18sc_TURKEY,F1912R,53,0,0,13,0,3,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,31,27,38,52,72,18,30,31,45,7,12,60,71
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed6_v1,6,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,58,0,0,12,0,17,5,0,0.000000,0.000000,0.314410,0.000000,0.631004,0.054585,0.000000,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,66,11,11,63,83,9,12,48,66,61,103,0,14
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed7_v1,7,1v6,ENGLAND,searchbot,consistent,solo_18sc_FRANCE,F1913R,58,13,0,19,0,0,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,67,5,7,79,106,11,14,11,23,38,68,6,12
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed9_v1,9,1v6,ENGLAND,searchbot,consistent,solo_18sc_FRANCE,F1912R,54,0,0,19,0,4,2,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,2,2,80,86,17,28,57,61,33,47,23,54
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed8_v1,8,1v6,ENGLAND,searchbot,consistent,max_phases,F1913R,60,11,0,17,0,4,2,0,0.281395,0.000000,0.672093,0.000000,0.037209,0.009302,0.000000,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,84,26,35,61,82,21,40,18,30,18,31,13,17
