game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed0_v1,0,1v6,FRANCE,searchbot,consistent,solo_18sc_AUSTRIA,F1910R,47,19,12,0,0,3,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,36,51,2,8,42,55,16,21,14,15,4,4
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed1_v1,1,1v6,FRANCE,searchbot,consistent,stop_after_W1913A,W1913A,58,16,14,0,0,1,3,0,0.554113,0.424242,0.000000,0.000000,0.002165,0.019481,0.000000,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,66,111,57,111,8,24,9,21,28,33,20,37,4,6
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed2_v1,2,1v6,FRANCE,searchbot,consistent,stop_after_W1913A,W1913A,60,0,17,0,0,0,1,16,0.000000,0.529304,0.000000,0.000000,0.000000,0.001832,0.468864,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,77,98,6,17,29,45,23,32,42,48,70,83
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed3_v1,3,1v6,FRANCE,searchbot,consistent,solo_18sc_GERMANY,F1912R,52,1,0,1,18,6,8,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,2,3,3,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,37,8,8,11,15,61,92,28,44,58,64,2,2
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed4_v1,4,1v6,FRANCE,searchbot,consistent,stop_after_W1913A,W1913A,57,15,1,6,5,0,3,4,0.721154,0.003205,0.115385,0.080128,0.000000,0.028846,0.051282,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,80,11,29,30,40,40,62,23,31,31,67,18,44
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed5_v1,5,1v6,FRANCE,searchbot,consistent,max_phases,F1914M,60,0,0,8,4,9,13,0,0.000000,0.000000,0.193939,0.048485,0.245455,0.512121,0.000000,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,32,7,10,46,63,38,91,36,86,70,131,14,27
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed6_v1,6,1v6,FRANCE,searchbot,consistent,solo_18sc_AUSTRIA,F1912R,52,18,9,6,0,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,70,42,58,26,32,25,59,14,15,21,22,2,8
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed7_v1,7,1v6,FRANCE,searchbot,consistent,stop_after_W1913A,W1913A,60,0,14,0,1,12,7,0,0.000000,0.502564,0.000000,0.002564,0.369231,0.125641,0.000000,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,49,62,5,13,34,50,49,68,45,71,6,9
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed8_v1,8,1v6,FRANCE,searchbot,consistent,solo_18sc_AUSTRIA,F1908R,35,19,0,6,9,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,12,13,17,19,19,32,17,17,8,8,12,19
run_1v6_myFRANCE_mysearchbot_oppconsistent_seed9_v1,9,1v6,FRANCE,searchbot,consistent,stop_after_W1913A,W1913A,56,13,0,0,17,0,2,2,0.362661,0.000000,0.000000,0.620172,0.000000,0.008584,0.008584,4,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,63,7,9,17,24,76,130,16,19,17,61,36,58
