game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed0_v1,0,1v6,ENGLAND,searchbot,dipnet,solo_18sc_ENGLAND,F1913R,60,0,18,0,9,0,0,7,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,46,68,10,45,52,122,38,51,5,40,50,82
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed1_v1,1,1v6,ENGLAND,searchbot,dipnet,stop_after_W1913A,W1913A,59,0,1,16,0,1,16,0,0.000000,0.001946,0.498054,0.000000,0.001946,0.498054,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,27,57,61,81,21,47,13,28,53,120,13,16
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed2_v1,2,1v6,ENGLAND,searchbot,dipnet,solo_18sc_ENGLAND,F1913R,57,6,19,0,0,9,0,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,77,64,108,32,46,23,35,26,88,11,22,4,24
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed3_v1,3,1v6,ENGLAND,searchbot,dipnet,stop_after_W1913A,W1913A,56,0,6,6,2,3,13,4,0.000000,0.133333,0.133333,0.014815,0.033333,0.625926,0.059259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,29,50,50,66,38,52,43,66,26,98,19,64
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed5_v1,5,1v6,ENGLAND,searchbot,dipnet,stop_after_W1913A,W1913A,56,0,5,2,9,0,10,8,0.000000,0.091241,0.014599,0.295620,0.000000,0.364964,0.233577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,33,56,23,44,40,69,16,47,23,129,41,75
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed6_v1,6,1v6,ENGLAND,searchbot,dipnet,stop_after_W1913A,W1913A,57,0,16,4,0,7,0,7,0.000000,0.691892,0.043243,0.000000,0.132432,0.000000,0.132432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,68,107,32,68,13,30,61,78,11,29,27,94
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed4_v1,4,1v6,ENGLAND,searchbot,dipnet,max_phases,F1917M,60,0,6,9,5,8,2,4,0.000000,0.159292,0.358407,0.110619,0.283186,0.017699,0.070796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,31,38,48,122,40,102,63,135,8,86,40,61
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed7_v1,7,1v6,ENGLAND,searchbot,dipnet,solo_18sc_ITALY,F1912R,51,0,6,0,0,18,5,5,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,23,36,13,15,20,31,62,106,21,82,40,47
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed8_v1,8,1v6,ENGLAND,searchbot,dipnet,solo_18sc_ENGLAND,F1910R,43,0,20,0,1,9,0,4,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,44,57,17,20,17,28,25,69,24,57,20,43
run_1v6_myENGLAND_mysearchbot_oppdipnet_seed9_v1,9,1v6,ENGLAND,searchbot,dipnet,max_phases,S1926M,60,3,4,6,5,6,6,4,0.051724,0.091954,0.206897,0.143678,0.206897,0.206897,0.091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,58,44,105,21,267,72,194,104,120,18,216,97,97
