game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed0_v1,0,1v6,GERMANY,searchbot,dipnet,max_phases,F1914R,60,0,0,7,9,10,7,1,0.000000,0.000000,0.175000,0.289286,0.357143,0.175000,0.003571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,8,11,24,91,44,91,33,132,21,104,24,38
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed1_v1,1,1v6,GERMANY,searchbot,dipnet,stop_after_W1913A,W1913A,55,0,1,1,16,15,1,0,0.000000,0.002066,0.002066,0.528926,0.464876,0.002066,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,18,25,11,43,58,93,45,79,42,67,0,19
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed2_v1,2,1v6,GERMANY,searchbot,dipnet,solo_18sc_GERMANY,F1912R,54,3,0,1,18,6,2,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,63,10,13,38,55,50,81,10,85,24,53,11,25
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed3_v1,3,1v6,GERMANY,searchbot,dipnet,max_phases,S1915R,60,9,0,0,12,13,0,0,0.205584,0.000000,0.000000,0.365482,0.428934,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,114,7,7,26,51,51,115,48,95,21,39,3,13
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed4_v1,4,1v6,GERMANY,searchbot,dipnet,max_phases,F1915M,60,10,0,0,12,12,0,0,0.257732,0.000000,0.000000,0.371134,0.371134,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,127,13,25,21,67,55,163,43,108,10,19,3,16
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed5_v1,5,1v6,GERMANY,searchbot,dipnet,stop_after_W1913A,W1913A,47,1,0,9,7,8,5,4,0.004237,0.000000,0.343220,0.207627,0.271186,0.105932,0.067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,71,7,9,56,111,21,116,33,58,23,101,45,45
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed7_v1,7,1v6,GERMANY,searchbot,dipnet,solo_18sc_GERMANY,F1911R,49,7,0,0,21,6,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,75,11,12,19,40,59,71,37,47,3,10,7,13
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed8_v1,8,1v6,GERMANY,searchbot,dipnet,solo_18sc_GERMANY,F1909R,40,1,0,0,18,8,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,11,18,8,25,45,54,19,53,13,28,22,46
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed6_v1,6,1v6,GERMANY,searchbot,dipnet,max_phases,S1922M,60,3,0,9,8,6,4,4,0.040541,0.000000,0.364865,0.288288,0.162162,0.072072,0.072072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,49,8,8,62,237,86,181,83,116,12,161,81,81
run_1v6_myGERMANY_mysearchbot_oppdipnet_seed9_v1,9,1v6,GERMANY,searchbot,dipnet,stop_after_W1913A,W1913A,52,1,0,12,8,1,7,5,0.003521,0.000000,0.507042,0.225352,0.003521,0.172535,0.088028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,8,8,62,105,40,92,24,37,29,101,39,57
