game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mysearchbot_oppdipnet_seed0_v1,0,1v6,ITALY,searchbot,dipnet,solo_18sc_FRANCE,F1911R,43,0,0,20,0,5,4,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,8,12,39,82,14,60,27,89,23,56,34,39
run_1v6_myITALY_mysearchbot_oppdipnet_seed1_v1,1,1v6,ITALY,searchbot,dipnet,solo_18sc_FRANCE,F1910R,43,1,0,20,0,5,4,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,9,9,47,74,18,43,28,66,25,85,14,45
run_1v6_myITALY_mysearchbot_oppdipnet_seed2_v1,2,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1913R,54,1,9,5,0,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,51,59,24,87,19,57,60,78,6,57,19,45
run_1v6_myITALY_mysearchbot_oppdipnet_seed3_v1,3,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1910R,44,0,8,4,0,19,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,38,74,48,68,10,29,53,80,20,46,18,18
run_1v6_myITALY_mysearchbot_oppdipnet_seed4_v1,4,1v6,ITALY,searchbot,dipnet,max_phases,F1918M,60,0,14,3,0,0,6,11,0.000000,0.541436,0.024862,0.000000,0.000000,0.099448,0.334254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,78,209,24,113,9,18,20,33,19,122,62,109
run_1v6_myITALY_mysearchbot_oppdipnet_seed7_v1,7,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1910R,44,0,5,2,8,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,76,20,46,18,61,51,58,14,49,9,27
run_1v6_myITALY_mysearchbot_oppdipnet_seed8_v1,8,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1909R,41,0,0,2,9,20,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,10,24,39,31,55,49,58,15,48,11,18
run_1v6_myITALY_mysearchbot_oppdipnet_seed5_v1,5,1v6,ITALY,searchbot,dipnet,max_phases,F1922M,60,0,4,7,5,7,6,5,0.000000,0.080000,0.245000,0.125000,0.245000,0.180000,0.125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,82,15,183,14,182,50,133,42,194,43,164
run_1v6_myITALY_mysearchbot_oppdipnet_seed6_v1,6,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1913R,57,0,0,13,0,18,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,7,40,128,11,11,68,100,41,127,15,36
run_1v6_myITALY_mysearchbot_oppdipnet_seed9_v1,9,1v6,ITALY,searchbot,dipnet,solo_18sc_ITALY,F1912R,56,0,0,8,7,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11,12,40,73,55,85,72,91,22,55,18,32
