game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed0_v1,0,1v6,RUSSIA,searchbot,dipnet,stop_after_W1913A,W1913A,58,0,5,12,0,3,5,9,0.000000,0.088028,0.507042,0.000000,0.031690,0.088028,0.285211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,27,34,30,52,18,20,17,75,20,53,34,63
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed1_v1,1,1v6,RUSSIA,searchbot,dipnet,solo_18sc_RUSSIA,F1910R,45,0,5,8,0,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,38,47,29,44,10,12,25,41,49,67,3,19
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed2_v1,2,1v6,RUSSIA,searchbot,dipnet,max_phases,S1915R,60,0,1,13,8,0,4,8,0.000000,0.003185,0.538217,0.203822,0.000000,0.050955,0.203822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,17,61,107,18,101,26,69,38,100,51,72
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed5_v1,5,1v6,RUSSIA,searchbot,dipnet,solo_18sc_RUSSIA,F1909R,38,2,7,7,0,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,31,47,28,63,22,22,12,12,32,38,4,16
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed3_v1,3,1v6,RUSSIA,searchbot,dipnet,stop_after_W1913A,W1913A,59,0,5,5,6,15,3,0,0.000000,0.078125,0.078125,0.112500,0.703125,0.028125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,64,24,80,47,69,15,121,64,82,24,54,3,12
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed6_v1,6,1v6,RUSSIA,searchbot,dipnet,solo_18sc_ITALY,F1910M,43,0,0,8,8,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,47,12,16,30,78,27,57,35,88,10,15,5,8
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed4_v1,4,1v6,RUSSIA,searchbot,dipnet,solo_18sc_FRANCE,F1913R,60,0,2,18,1,8,4,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,8,9,62,87,37,41,82,91,33,55,25,45
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed7_v1,7,1v6,RUSSIA,searchbot,dipnet,stop_after_W1913A,W1913A,56,13,6,0,1,14,0,0,0.420398,0.089552,0.000000,0.002488,0.487562,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,130,44,52,20,36,46,90,33,105,16,26,3,17
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed8_v1,8,1v6,RUSSIA,searchbot,dipnet,solo_18sc_FRANCE,F1912R,52,7,0,19,0,4,0,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,105,16,31,42,57,24,32,2,15,11,19,25,52
run_1v6_myRUSSIA_mysearchbot_oppdipnet_seed9_v1,9,1v6,RUSSIA,searchbot,dipnet,stop_after_W1913A,W1913A,57,7,0,0,0,16,11,0,0.115023,0.000000,0.000000,0.000000,0.600939,0.284038,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,12,12,29,44,14,23,45,73,47,90,5,15
