game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed0_v1,0,1v6,TURKEY,searchbot,dipnet,max_phases,F1918M,60,15,1,10,0,8,0,0,0.576923,0.002564,0.256410,0.000000,0.164103,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,306,15,32,80,175,8,14,41,96,3,12,5,20
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed2_v1,2,1v6,TURKEY,searchbot,dipnet,solo_18sc_TURKEY,F1909R,38,0,7,4,5,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,21,37,16,42,26,42,11,23,9,13,39,51
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed3_v1,3,1v6,TURKEY,searchbot,dipnet,max_phases,F1913M,60,0,4,8,0,17,5,0,0.000000,0.040609,0.162437,0.000000,0.733503,0.063452,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54,41,48,42,81,8,43,51,84,25,40,4,13
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed1_v1,1,1v6,TURKEY,searchbot,dipnet,stop_after_W1913A,W1913A,57,6,11,4,2,5,0,6,0.151261,0.508403,0.067227,0.016807,0.105042,0.000000,0.151261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,76,51,114,34,74,16,42,18,45,14,37,21,47
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed4_v1,4,1v6,TURKEY,searchbot,dipnet,solo_18sc_TURKEY,F1907R,31,0,0,7,7,1,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,10,11,19,44,19,35,13,13,3,6,31,39
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed8_v1,8,1v6,TURKEY,searchbot,dipnet,solo_18sc_FRANCE,F1912R,53,11,0,19,0,4,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,123,8,21,52,107,9,27,42,60,7,19,8,13
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed7_v1,7,1v6,TURKEY,searchbot,dipnet,max_phases,F1916M,60,9,12,0,0,13,0,0,0.205584,0.365482,0.000000,0.000000,0.428934,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,184,75,178,11,46,21,35,36,177,17,24,12,22
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed5_v1,5,1v6,TURKEY,searchbot,dipnet,solo_18sc_TURKEY,F1912R,52,0,0,9,6,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,11,26,23,105,24,89,15,24,12,19,55,90
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed6_v1,6,1v6,TURKEY,searchbot,dipnet,stop_after_W1913A,W1913A,55,0,0,5,9,3,12,5,0.000000,0.000000,0.088028,0.285211,0.031690,0.507042,0.088028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,13,17,42,55,51,72,41,63,39,89,33,75
run_1v6_myTURKEY_mysearchbot_oppdipnet_seed9_v1,9,1v6,TURKEY,searchbot,dipnet,stop_after_W1913A,W1913A,58,2,0,4,12,12,3,1,0.012579,0.000000,0.050314,0.452830,0.452830,0.028302,0.003145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,73,10,11,56,63,55,79,34,75,21,36,6,10
