side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.003169,0.000000,0.000000,0.100000,0.900000,0,0,1,9,1,3,0,0,0.100000,0.300000,0.000000,0.000000,180,287,0.627178
self,cicero_nopress,per_power,ENGLAND,10,0.023087,0.000000,0.000000,0.500000,0.500000,0,0,5,5,1,1,1,0,0.100000,0.100000,0.100000,0.000000,232,307,0.755700
self,cicero_nopress,per_power,FRANCE,10,0.145911,0.000000,0.100000,0.700000,0.200000,0,1,7,2,9,5,9,0,0.900000,0.500000,0.900000,0.000000,361,573,0.630017
self,cicero_nopress,per_power,GERMANY,10,0.057338,0.000000,0.100000,0.300000,0.600000,0,1,3,6,4,13,4,2,0.400000,1.300000,0.400000,0.200000,297,464,0.640086
self,cicero_nopress,per_power,ITALY,10,0.071152,0.000000,0.000000,0.700000,0.300000,0,0,7,3,4,10,5,0,0.400000,1.000000,0.500000,0.000000,259,344,0.752907
self,cicero_nopress,per_power,RUSSIA,10,0.112428,0.000000,0.100000,0.700000,0.200000,0,1,7,2,6,5,5,0,0.600000,0.500000,0.500000,0.000000,370,601,0.615641
self,cicero_nopress,per_power,TURKEY,10,0.025474,0.000000,0.000000,0.600000,0.400000,0,0,6,4,1,4,1,1,0.100000,0.400000,0.100000,0.100000,225,418,0.538278
opponent,consistent,per_power,AUSTRIA,60,0.072302,0.016667,0.066667,0.250000,0.666667,1,4,15,40,0,2,0,0,0.000000,0.033333,0.000000,0.000000,1301,2390,0.544351
opponent,consistent,per_power,ENGLAND,60,0.107699,0.000000,0.100000,0.566667,0.333333,0,6,34,20,1,6,0,0,0.016667,0.100000,0.000000,0.000000,1609,2331,0.690262
opponent,consistent,per_power,FRANCE,60,0.237887,0.000000,0.316667,0.466667,0.216667,0,19,28,13,0,3,0,0,0.000000,0.050000,0.000000,0.000000,2125,3116,0.681964
opponent,consistent,per_power,GERMANY,60,0.132095,0.000000,0.133333,0.666667,0.200000,0,8,40,12,1,5,0,1,0.016667,0.083333,0.000000,0.016667,2368,3721,0.636388
opponent,consistent,per_power,ITALY,60,0.164188,0.000000,0.133333,0.666667,0.200000,0,8,40,12,0,5,0,0,0.000000,0.083333,0.000000,0.000000,1985,3181,0.624018
opponent,consistent,per_power,RUSSIA,60,0.204830,0.000000,0.316667,0.450000,0.233333,0,19,27,14,0,1,0,0,0.000000,0.016667,0.000000,0.000000,2172,3817,0.569033
opponent,consistent,per_power,TURKEY,60,0.174574,0.033333,0.100000,0.583333,0.283333,2,6,35,17,0,2,0,0,0.000000,0.033333,0.000000,0.000000,1821,2926,0.622351
self,cicero_nopress,overall,OVERALL,70,0.062651,0.000000,0.042857,0.514286,0.442857,0,3,36,31,26,41,25,3,0.371429,0.585714,0.357143,0.042857,1924,2994,0.642619
opponent,consistent,overall,OVERALL,420,0.156225,0.007143,0.166667,0.521429,0.304762,3,70,219,128,2,24,0,1,0.004762,0.057143,0.000000,0.002381,13381,21482,0.622894
