game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,2,5,15,0,0,3,9,0.011628,0.072674,0.654070,0.000000,0.000000,0.026163,0.235465,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,45,42,50,67,105,18,29,5,7,26,38,39,61
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,13,1,0,5,6,9,0.000000,0.541667,0.003205,0.000000,0.080128,0.115385,0.259615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,44,47,22,40,19,30,28,57,44,114,31,74
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,8,3,6,7,4,6,0.000000,0.304762,0.042857,0.171429,0.233333,0.076190,0.171429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,42,48,24,69,28,74,39,71,35,72,27,64
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,16,0,0,5,3,10,0.000000,0.656410,0.000000,0.000000,0.064103,0.023077,0.256410,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,47,56,80,8,8,22,34,25,36,39,69,33,43
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,6,7,4,9,3,5,0.000000,0.166667,0.226852,0.074074,0.375000,0.041667,0.115741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,24,34,35,65,40,63,29,49,33,48,32,56
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,AUSTRIA,cicero_nopress,consistent,max_phases,F1913R,60,0,0,0,15,9,3,7,0.000000,0.000000,0.000000,0.618132,0.222527,0.024725,0.134615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,11,46,21,33,45,68,43,62,19,58,46,82
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,4,5,0,4,16,5,0.000000,0.047337,0.073964,0.000000,0.047337,0.757396,0.073964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,21,41,28,38,22,44,38,56,63,93,26,46
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,0,4,11,1,8,10,0.000000,0.000000,0.052980,0.400662,0.003311,0.211921,0.331126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,23,26,28,33,27,68,16,31,30,115,35,61
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,3,8,6,7,5,5,0.000000,0.043269,0.307692,0.173077,0.235577,0.120192,0.120192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,18,37,46,68,49,74,34,45,25,46,41,46
run_1v6_myAUSTRIA_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,AUSTRIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,3,8,0,5,12,6,0.000000,0.032374,0.230216,0.000000,0.089928,0.517986,0.129496,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,42,68,45,63,8,23,22,51,25,61,33,59
