game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,12,0,5,0,0,17,0.000000,0.314410,0.000000,0.054585,0.000000,0.000000,0.631004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,59,86,21,27,26,86,13,34,15,24,62,80
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913R,60,6,1,3,15,0,0,9,0.102273,0.002841,0.025568,0.639205,0.000000,0.000000,0.230114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,102,29,45,22,58,46,61,14,40,21,36,28,55
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913M,60,0,1,8,5,6,11,3,0.000000,0.003906,0.250000,0.097656,0.140625,0.472656,0.035156,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,14,18,35,47,45,61,43,62,42,77,19,34
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,13,1,10,2,7,0,1,0.521605,0.003086,0.308642,0.012346,0.151235,0.000000,0.003086,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,114,7,17,45,67,39,77,24,46,19,30,18,31
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913M,60,4,6,4,7,3,4,6,0.089888,0.202247,0.089888,0.275281,0.050562,0.089888,0.202247,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,69,30,36,27,47,34,62,18,27,18,65,33,56
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,2,6,9,2,0,15,0.000000,0.011429,0.102857,0.231429,0.011429,0.000000,0.642857,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,31,38,36,57,58,81,28,54,8,17,68,97
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,53,5,1,0,0,14,8,6,0.077640,0.003106,0.000000,0.000000,0.608696,0.198758,0.111801,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,65,22,44,13,20,27,47,55,71,38,70,19,74
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,7,0,3,12,7,4,1,0.182836,0.000000,0.033582,0.537313,0.182836,0.059701,0.003731,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,71,14,27,24,46,50,66,28,36,44,74,14,44
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,ENGLAND,cicero_nopress,consistent,max_phases,F1913R,60,8,2,2,11,8,3,0,0.240602,0.015038,0.015038,0.454887,0.240602,0.033835,0.000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,77,28,40,20,24,48,68,35,53,34,58,3,6
run_1v6_myENGLAND_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,ENGLAND,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,12,15,0,0,7,0,0,0.344498,0.538278,0.000000,0.000000,0.117225,0.000000,0.000000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,87,50,53,19,22,35,57,25,30,26,40,5,6
