game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,0,3,11,8,7,5,0.000000,0.000000,0.033582,0.451493,0.238806,0.182836,0.093284,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,9,35,53,60,83,33,53,43,105,35,65
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,10,12,7,0,0,1,4,0.322581,0.464516,0.158065,0.000000,0.000000,0.003226,0.051613,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,110,61,88,39,71,13,41,6,6,21,52,19,26
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,5,3,4,0,5,11,6,0.107759,0.038793,0.068966,0.000000,0.107759,0.521552,0.155172,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,69,35,50,17,18,20,26,20,25,46,104,23,49
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,FRANCE,cicero_nopress,consistent,max_phases,F1913R,60,0,8,4,7,14,1,0,0.000000,0.196319,0.049080,0.150307,0.601227,0.003067,0.000000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,42,97,27,37,37,82,64,83,30,42,25,36
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,FRANCE,cicero_nopress,consistent,max_phases,F1913R,60,9,10,0,8,5,0,2,0.295620,0.364964,0.000000,0.233577,0.091241,0.000000,0.014599,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,60,35,59,26,29,34,65,34,39,16,33,22,42
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,8,2,5,5,9,5,0.000000,0.285714,0.017857,0.111607,0.111607,0.361607,0.111607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,16,33,70,24,30,39,66,29,44,42,89,32,45
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,9,5,3,0,0,17,0.000000,0.200495,0.061881,0.022277,0.000000,0.000000,0.715347,0,0,0,0,3,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,39,62,39,61,28,53,20,26,16,30,78,87
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,11,4,0,4,9,6,0.000000,0.448148,0.059259,0.000000,0.059259,0.300000,0.133333,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,64,59,75,34,53,18,34,39,46,29,43,26,35
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,55,5,3,5,9,5,2,5,0.128866,0.046392,0.128866,0.417526,0.128866,0.020619,0.128866,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,34,74,18,76,42,56,27,85,20,33,20,35,33,45
run_1v6_myFRANCE_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,FRANCE,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,0,3,3,8,6,7,7,0.000000,0.041667,0.041667,0.296296,0.166667,0.226852,0.226852,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,8,16,41,45,47,51,29,67,49,107,32,60
