game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,GERMANY,cicero_nopress,consistent,max_phases,F1913R,60,0,3,7,6,9,6,3,0.000000,0.040909,0.222727,0.163636,0.368182,0.163636,0.040909,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,25,31,29,43,40,52,45,70,28,36,30,48
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,10,0,14,1,9,0,0,0.264550,0.000000,0.518519,0.002646,0.214286,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,72,23,37,43,116,13,25,38,66,22,34,11,29
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,1,10,8,3,0,12,0.000000,0.003145,0.314465,0.201258,0.028302,0.000000,0.452830,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,27,42,29,63,40,49,54,88,18,46,60,73
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,1,12,6,0,2,3,10,0.003401,0.489796,0.122449,0.000000,0.013605,0.030612,0.340136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,58,46,61,36,39,16,17,19,26,40,68,39,46
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,GERMANY,cicero_nopress,consistent,max_phases,F1913R,60,0,5,6,0,3,12,8,0.000000,0.089928,0.129496,0.000000,0.032374,0.517986,0.230216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,35,50,50,57,13,54,35,69,33,56,33,46
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,4,3,7,7,5,0,8,0.075472,0.042453,0.231132,0.231132,0.117925,0.000000,0.301887,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,49,44,57,22,63,32,65,26,35,11,11,48,62
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,11,12,2,0,9,0,0,0.345714,0.411429,0.011429,0.000000,0.231429,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,89,52,64,24,43,17,53,39,42,10,23,7,19
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,13,0,0,17,4,0.000000,0.000000,0.356540,0.000000,0.000000,0.609705,0.033755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,15,22,61,75,20,32,10,10,62,101,40,61
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,GERMANY,cicero_nopress,consistent,stop_after_W1913A,W1913A,54,0,0,12,2,8,11,1,0.000000,0.000000,0.431138,0.011976,0.191617,0.362275,0.002994,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,16,49,88,31,80,35,76,39,112,28,59
run_1v6_myGERMANY_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,GERMANY,cicero_nopress,consistent,max_phases,S1915M,60,0,0,0,14,7,0,13,0.000000,0.000000,0.000000,0.473430,0.118357,0.000000,0.408213,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,19,24,9,10,91,117,37,85,14,16,55,133
