game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,16,0,0,10,8,0.000000,0.000000,0.609524,0.000000,0.000000,0.238095,0.152381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,34,48,21,36,63,87,23,50,12,12,40,61,33,63
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,3,6,10,1,0,5,9,0.035714,0.142857,0.396825,0.003968,0.000000,0.099206,0.321429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,62,30,33,41,54,36,49,6,10,31,76,50,67
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,5,8,5,5,6,5,0.000000,0.125000,0.320000,0.125000,0.125000,0.180000,0.125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,40,29,58,41,55,26,48,34,43,28,47,20,39
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,7,10,3,5,4,5,0.000000,0.218750,0.446429,0.040179,0.111607,0.071429,0.111607,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,19,20,32,43,27,47,34,49,33,41,47,89,26,47
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,10,7,7,4,3,2,1,0.438596,0.214912,0.214912,0.070175,0.039474,0.017544,0.004386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,85,26,37,23,48,25,60,17,38,34,61,14,14
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,ITALY,cicero_nopress,consistent,max_phases,S1913R,60,0,6,1,4,5,8,10,0.000000,0.148760,0.004132,0.066116,0.103306,0.264463,0.413223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30,50,28,37,24,39,33,45,26,42,43,87,30,53
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,3,6,7,4,4,1,9,0.043269,0.173077,0.235577,0.076923,0.076923,0.004808,0.389423,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,43,58,39,70,32,45,36,64,19,23,16,42,34,46
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,ITALY,cicero_nopress,consistent,max_phases,F1913R,60,0,15,2,0,1,10,6,0.000000,0.614754,0.010929,0.000000,0.002732,0.273224,0.098361,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,32,55,67,36,61,24,39,16,28,39,63,47,69
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,3,12,7,0,8,4,0.000000,0.031915,0.510638,0.173759,0.000000,0.226950,0.056738,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,26,78,45,85,35,75,15,22,44,63,60,81
run_1v6_myITALY_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,ITALY,cicero_nopress,consistent,stop_after_W1913A,W1913A,57,0,0,8,9,4,8,5,0.000000,0.000000,0.256000,0.324000,0.064000,0.256000,0.100000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,33,10,12,65,83,63,110,41,55,48,72,21,44
