game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,0,12,8,0,14,0,0,0.000000,0.356436,0.158416,0.000000,0.485149,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,49,90,24,122,13,30,40,113,30,44,3,13
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,RUSSIA,cicero_nopress,consistent,max_phases,F1914M,60,16,7,5,6,0,0,0,0.699454,0.133880,0.068306,0.098361,0.000000,0.000000,0.000000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,126,20,119,27,48,31,110,10,14,10,17,7,7
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,58,5,4,7,5,10,3,0,0.111607,0.071429,0.218750,0.111607,0.446429,0.040179,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,78,36,59,38,55,28,61,35,50,37,54,7,7
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,13,9,8,0,2,0,2,0.524845,0.251553,0.198758,0.000000,0.012422,0.000000,0.012422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,47,102,44,75,40,57,18,28,19,35,22,29,8,23
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,53,7,0,10,0,6,9,2,0.181481,0.000000,0.370370,0.000000,0.133333,0.300000,0.014815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,41,93,23,38,45,85,9,20,30,66,45,94,23,40
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,1,7,8,5,6,7,0.000000,0.004464,0.218750,0.285714,0.111607,0.160714,0.218750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,30,25,36,22,29,41,63,23,25,44,89,35,52
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,RUSSIA,cicero_nopress,consistent,max_phases,F1913R,60,0,5,8,5,4,1,11,0.000000,0.099206,0.253968,0.099206,0.063492,0.003968,0.480159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,25,38,43,65,45,76,27,36,46,60,41,61
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,8,10,0,12,1,3,0.000000,0.201258,0.314465,0.000000,0.452830,0.003145,0.028302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,4,4,27,49,37,81,26,64,39,79,34,76,52,82
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,RUSSIA,cicero_nopress,consistent,stop_after_W1913A,W1913A,55,6,4,5,9,7,0,3,0.166667,0.074074,0.115741,0.375000,0.226852,0.000000,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,83,49,58,20,45,48,62,21,40,8,10,20,29
run_1v6_myRUSSIA_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,RUSSIA,cicero_nopress,consistent,max_phases,F1913R,60,0,5,0,5,9,6,9,0.000000,0.100806,0.000000,0.100806,0.326613,0.145161,0.326613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,19,33,43,54,20,25,36,45,26,28,38,56,59,74
