game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed10_v3,10,1v6,TURKEY,cicero_nopress,consistent,max_phases,F1913R,60,0,3,8,8,10,0,5,0.000000,0.034351,0.244275,0.244275,0.381679,0.000000,0.095420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,10,27,39,42,55,26,52,43,58,19,26,45,53
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed12_v3,12,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,55,8,10,5,3,6,0,2,0.268908,0.420168,0.105042,0.037815,0.151261,0.000000,0.016807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,96,41,65,37,79,31,56,25,37,7,15,18,33
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed11_v3,11,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,5,4,12,1,4,3,5,0.105932,0.067797,0.610169,0.004237,0.067797,0.038136,0.105932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,42,62,23,29,39,64,23,42,17,22,28,44,37,42
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed13_v3,13,1v6,TURKEY,cicero_nopress,consistent,max_phases,S1915M,60,10,5,5,6,7,1,0,0.423729,0.105932,0.105932,0.152542,0.207627,0.004237,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,58,95,19,95,18,82,25,120,28,68,6,16,18,29
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed14_v3,14,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,4,1,5,10,8,6,0.000000,0.066116,0.004132,0.103306,0.413223,0.264463,0.148760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,27,33,34,50,11,16,37,60,42,69,39,66,34,48
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed15_v3,15,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,60,0,0,16,0,4,6,8,0.000000,0.000000,0.688172,0.000000,0.043011,0.096774,0.172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,33,43,8,15,58,75,35,47,14,22,53,87,34,43
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed16_v3,16,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,59,3,0,7,6,10,8,0,0.034884,0.000000,0.189922,0.139535,0.387597,0.248062,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,87,13,19,26,35,37,47,47,67,54,84,7,32
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed17_v3,17,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,0,5,10,7,0,8,4,0.000000,0.098425,0.393701,0.192913,0.000000,0.251969,0.062992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,10,16,66,31,100,23,101,25,29,54,81,42,49
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed18_v3,18,1v6,TURKEY,cicero_nopress,consistent,stop_after_W1913A,W1913A,56,6,1,8,8,4,7,0,0.156522,0.004348,0.278261,0.278261,0.069565,0.213043,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,78,21,40,33,52,52,72,35,51,50,65,5,5
run_1v6_myTURKEY_mycicero_nopress_oppconsistent_seed19_v3,19,1v6,TURKEY,cicero_nopress,consistent,max_phases,F1913M,60,2,8,9,1,3,7,4,0.017857,0.285714,0.361607,0.004464,0.040179,0.218750,0.071429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,36,64,47,58,50,78,21,37,16,19,34,47,29,43
