side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.001163,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,3,7,0,0.000000,0.300000,0.700000,0.000000,149,272,0.547794
self,cicero_nopress,per_power,ENGLAND,10,0.109434,0.000000,0.100000,0.800000,0.100000,0,1,8,1,0,12,6,0,0.000000,1.200000,0.600000,0.000000,284,404,0.702970
self,cicero_nopress,per_power,FRANCE,10,0.061922,0.000000,0.000000,0.900000,0.100000,0,0,9,1,4,17,18,0,0.400000,1.700000,1.800000,0.000000,324,453,0.715232
self,cicero_nopress,per_power,GERMANY,10,0.108408,0.000000,0.100000,0.500000,0.400000,0,1,5,4,1,11,16,1,0.100000,1.100000,1.600000,0.100000,313,544,0.575368
self,cicero_nopress,per_power,ITALY,10,0.052304,0.000000,0.000000,0.700000,0.300000,0,0,7,3,0,8,3,0,0.000000,0.800000,0.300000,0.000000,219,314,0.697452
self,cicero_nopress,per_power,RUSSIA,10,0.065317,0.000000,0.000000,0.600000,0.400000,0,0,6,4,0,5,9,0,0.000000,0.500000,0.900000,0.000000,314,529,0.593573
self,cicero_nopress,per_power,TURKEY,10,0.067338,0.000000,0.000000,0.700000,0.300000,0,0,7,3,7,12,4,1,0.700000,1.200000,0.400000,0.100000,269,377,0.713528
opponent,consistent,per_power,AUSTRIA,60,0.105213,0.000000,0.083333,0.400000,0.516667,0,5,24,31,2,5,0,0,0.033333,0.083333,0.000000,0.000000,1710,3112,0.549486
opponent,consistent,per_power,ENGLAND,60,0.151264,0.000000,0.166667,0.633333,0.200000,0,10,38,12,3,18,2,0,0.050000,0.300000,0.033333,0.000000,1842,3046,0.604728
opponent,consistent,per_power,FRANCE,60,0.210983,0.000000,0.250000,0.633333,0.116667,0,15,38,7,0,6,1,0,0.000000,0.100000,0.016667,0.000000,1996,3386,0.589486
opponent,consistent,per_power,GERMANY,60,0.142189,0.000000,0.216667,0.500000,0.283333,0,13,30,17,0,8,1,0,0.000000,0.133333,0.016667,0.000000,1949,3541,0.550409
opponent,consistent,per_power,ITALY,60,0.161610,0.000000,0.183333,0.683333,0.133333,0,11,41,8,0,7,0,0,0.000000,0.116667,0.000000,0.000000,1756,2835,0.619400
opponent,consistent,per_power,RUSSIA,60,0.150678,0.000000,0.116667,0.650000,0.233333,0,7,39,14,0,8,0,0,0.000000,0.133333,0.000000,0.000000,1907,3540,0.538701
opponent,consistent,per_power,TURKEY,60,0.167082,0.000000,0.150000,0.716667,0.133333,0,9,43,8,0,5,0,0,0.000000,0.083333,0.000000,0.000000,1878,3052,0.615334
self,cicero_nopress,overall,OVERALL,70,0.066555,0.000000,0.028571,0.614286,0.357143,0,2,43,25,12,68,63,2,0.171429,0.971429,0.900000,0.028571,1872,2893,0.647079
opponent,consistent,overall,OVERALL,420,0.155574,0.000000,0.166667,0.602381,0.230952,0,70,253,97,5,57,4,0,0.011905,0.135714,0.009524,0.000000,13038,22512,0.579158
