game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,4,3,11,1,11,4,0.0,0.056338028169014086,0.03169014084507042,0.426056338028169,0.0035211267605633804,0.426056338028169,0.056338028169014086,0,0,0,0,4,8,0,0,1,2,1,0,3,8,1,0,1,1,0,0,2,10,0,0,0,6,0,0,4,5,16,60,36,57,51,76,14,19,53,93,25,72
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,0,6,5,5,12,3,3,0.0,0.14516129032258066,0.10080645161290322,0.10080645161290322,0.5806451612903226,0.036290322580645164,0.036290322580645164,0,1,0,0,1,4,0,0,0,4,0,0,0,3,0,0,1,2,1,0,0,2,0,0,1,2,0,0,12,15,20,37,26,44,30,67,62,96,20,34,36,53
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,0,4,6,5,4,4,11,0.0,0.06956521739130435,0.1565217391304348,0.10869565217391304,0.06956521739130435,0.06956521739130435,0.5260869565217391,0,0,0,0,0,2,1,0,2,3,1,0,0,3,0,0,1,5,0,1,0,2,0,0,3,5,1,0,8,11,24,31,33,51,37,84,20,77,27,121,28,98
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,10,8,0,11,1,4,0.0,0.33112582781456956,0.2119205298013245,0.0,0.40066225165562913,0.0033112582781456954,0.052980132450331126,0,1,0,0,6,5,3,0,0,7,0,0,0,3,3,0,2,0,1,0,0,1,0,0,1,0,0,0,13,49,37,73,17,101,15,67,40,83,23,51,17,35
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,0,4,10,2,7,9,2,0.0,0.06299212598425197,0.3937007874015748,0.015748031496062992,0.19291338582677164,0.3188976377952756,0.015748031496062992,0,0,0,0,0,5,1,0,0,1,0,0,0,5,1,0,1,1,0,0,1,3,0,0,0,0,0,0,9,14,17,33,47,58,35,52,42,60,37,67,12,23
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,0,1,6,11,7,5,4,0.0,0.004032258064516129,0.14516129032258066,0.4879032258064516,0.1975806451612903,0.10080645161290322,0.06451612903225806,0,1,0,0,0,3,2,0,1,2,5,0,0,4,0,0,2,2,0,0,1,5,1,0,1,5,0,0,9,12,12,36,29,46,45,88,30,64,27,98,22,52
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,50,2,0,8,8,6,7,3,0.017699115044247787,0.0,0.2831858407079646,0.2831858407079646,0.1592920353982301,0.2168141592920354,0.03982300884955752,0,2,0,0,0,0,2,0,0,7,1,0,0,7,0,0,2,3,0,0,0,1,0,0,0,0,0,0,24,65,15,25,33,83,30,77,27,77,41,59,24,44
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,3,7,6,6,5,7,0.0,0.04411764705882353,0.24019607843137256,0.17647058823529413,0.17647058823529413,0.12254901960784313,0.24019607843137256,0,2,0,0,0,1,3,0,1,2,2,0,0,1,0,0,0,8,3,0,1,5,0,0,4,9,0,0,10,24,19,25,22,72,49,86,17,95,31,68,30,99
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,11,3,3,6,10,1,0.0,0.4384057971014493,0.03260869565217391,0.03260869565217391,0.13043478260869565,0.36231884057971014,0.0036231884057971015,0,1,0,0,0,2,1,0,0,0,0,0,0,0,4,0,1,1,1,0,0,1,0,0,0,3,0,0,14,17,39,46,23,24,35,49,39,65,44,69,20,36
run_1v6_myAUSTRIA_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,AUSTRIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,8,6,4,6,3,7,0.0,0.3047619047619048,0.17142857142857143,0.0761904761904762,0.17142857142857143,0.04285714285714286,0.23333333333333334,0,0,1,0,1,2,0,0,0,3,0,0,0,9,3,0,0,0,2,0,0,2,2,0,0,0,0,0,22,33,20,42,25,66,13,76,32,44,25,34,42,55
