game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,0,0,17,0,5,1,11,0.0,0.0,0.6628440366972477,0.0,0.05733944954128441,0.0022935779816513763,0.2775229357798165,0,3,0,1,0,3,0,0,0,2,1,0,1,1,3,0,0,7,3,0,1,2,0,0,5,1,0,0,15,45,14,16,50,62,19,45,25,51,20,50,26,58
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,1,0,14,13,2,4,0.0,0.0025906735751295338,0.0,0.5077720207253886,0.4378238341968912,0.010362694300518135,0.04145077720207254,0,4,0,0,0,4,0,0,0,1,4,0,3,3,1,0,0,3,0,0,2,4,0,0,0,2,0,0,10,36,12,27,11,17,52,80,48,84,31,54,17,38
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,ENGLAND,cicero_nopress,diplodocus_high,max_phases,F1913R,60,7,0,17,0,6,0,4,0.12564102564102564,0.0,0.7410256410256411,0.0,0.09230769230769231,0.0,0.041025641025641026,0,4,1,0,1,0,0,0,0,4,1,0,1,3,1,0,1,5,0,0,0,2,1,0,0,4,1,0,39,60,16,20,36,59,35,61,30,47,26,45,33,39
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,0,8,6,4,9,7,0.0,0.0,0.2601626016260163,0.14634146341463414,0.06504065040650407,0.32926829268292684,0.1991869918699187,0,2,0,0,0,3,0,0,2,2,3,0,0,4,0,0,5,5,1,0,0,4,0,0,0,4,2,0,13,20,18,26,31,40,38,67,26,73,37,77,31,57
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,ENGLAND,cicero_nopress,diplodocus_high,max_phases,F1913M,60,2,7,4,0,4,9,8,0.017391304347826087,0.21304347826086956,0.06956521739130435,0.0,0.06956521739130435,0.3521739130434783,0.2782608695652174,0,3,0,0,1,3,1,0,0,8,0,1,1,3,1,0,0,5,0,0,0,3,0,0,0,2,0,0,22,43,39,49,8,25,27,39,24,34,55,82,36,58
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,3,1,9,7,7,2,5,0.04128440366972477,0.0045871559633027525,0.37155963302752293,0.22477064220183487,0.22477064220183487,0.01834862385321101,0.11467889908256881,1,6,0,0,1,6,0,0,1,4,1,0,0,2,1,0,2,4,0,0,1,2,2,0,0,1,1,0,42,77,23,34,29,59,41,58,21,58,19,36,12,22
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,0,0,9,9,6,10,0.0,0.0,0.0,0.27181208053691275,0.27181208053691275,0.12080536912751678,0.33557046979865773,0,0,0,0,0,2,0,0,0,2,0,0,0,3,1,0,0,1,2,0,0,2,0,0,1,1,0,0,31,49,9,13,11,21,57,70,42,57,25,51,26,56
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,55,0,0,11,2,8,8,5,0.0,0.0,0.4352517985611511,0.014388489208633094,0.2302158273381295,0.2302158273381295,0.08992805755395683,0,0,0,0,0,0,1,0,0,0,3,0,0,6,0,0,0,6,0,0,0,4,0,1,1,7,0,0,5,5,7,8,43,59,39,79,55,85,29,71,18,70
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,1,1,8,4,0,11,9,0.0035211267605633804,0.0035211267605633804,0.22535211267605634,0.056338028169014086,0.0,0.426056338028169,0.2852112676056338,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,2,5,0,1,2,2,1,0,21,46,26,37,18,30,34,55,13,17,47,94,38,67
run_1v6_myENGLAND_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,ENGLAND,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,3,3,8,5,4,4,7,0.047872340425531915,0.047872340425531915,0.3404255319148936,0.13297872340425532,0.0851063829787234,0.0851063829787234,0.26063829787234044,0,7,0,0,0,2,0,0,0,3,1,0,1,1,0,0,2,6,0,0,0,0,0,0,0,4,0,0,31,71,26,41,23,41,33,60,18,68,23,41,32,52
