game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,FRANCE,cicero_nopress,diplodocus_high,max_phases,F1913R,60,6,7,0,5,9,3,4,0.16666666666666666,0.22685185185185186,0.0,0.11574074074074074,0.375,0.041666666666666664,0.07407407407407407,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,4,0,0,0,2,4,0,0,1,0,0,34,83,31,47,11,20,35,55,43,88,25,41,11,25
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,4,8,8,0,7,4,3,0.07339449541284404,0.29357798165137616,0.29357798165137616,0.0,0.22477064220183487,0.07339449541284404,0.04128440366972477,0,8,0,0,2,6,3,0,0,4,0,0,0,5,0,0,2,7,1,0,0,2,1,0,0,3,0,0,35,72,24,55,38,75,20,68,20,47,18,28,23,54
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,4,6,1,2,7,4,10,0.07207207207207207,0.16216216216216217,0.0045045045045045045,0.018018018018018018,0.22072072072072071,0.07207207207207207,0.45045045045045046,2,7,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,1,0,0,1,3,0,0,30,55,13,15,35,48,28,47,35,53,17,31,44,59
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,12,9,4,0,4,3,2,0.5333333333333333,0.3,0.05925925925925926,0.0,0.05925925925925926,0.03333333333333333,0.014814814814814815,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,0,0,0,37,92,39,49,43,50,4,16,23,68,18,37,15,25
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,0,5,10,9,5,5,0.0,0.0,0.09765625,0.390625,0.31640625,0.09765625,0.09765625,1,4,0,0,0,2,0,0,0,1,1,0,1,4,0,0,1,4,0,0,0,1,0,1,0,0,1,0,30,54,4,16,32,62,46,80,32,46,39,73,23,37
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,3,0,9,7,10,5,0.0,0.03409090909090909,0.0,0.3068181818181818,0.1856060606060606,0.3787878787878788,0.0946969696969697,0,1,0,0,0,0,2,0,0,0,0,0,0,2,5,0,1,5,0,0,1,2,0,0,0,4,0,0,26,55,12,19,25,36,41,67,33,67,33,45,25,42
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,FRANCE,cicero_nopress,diplodocus_high,max_phases,F1913R,60,8,0,4,10,7,4,1,0.2601626016260163,0.0,0.06504065040650407,0.4065040650406504,0.1991869918699187,0.06504065040650407,0.0040650406504065045,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,2,1,0,37,79,6,12,37,44,40,64,23,42,22,44,19,24
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,0,2,6,6,4,11,5,0.0,0.01680672268907563,0.15126050420168066,0.15126050420168066,0.06722689075630252,0.5084033613445378,0.10504201680672269,0,3,1,0,0,1,0,0,0,0,0,0,0,2,1,0,6,4,0,0,1,0,0,0,1,2,0,0,27,43,17,24,29,36,46,59,21,67,31,52,26,44
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,FRANCE,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,14,0,0,6,6,8,0.0,0.5903614457831325,0.0,0.0,0.10843373493975904,0.10843373493975904,0.1927710843373494,0,0,0,0,0,2,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,5,1,0,5,20,46,66,24,42,9,37,47,65,40,84,26,54
run_1v6_myFRANCE_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,FRANCE,cicero_nopress,diplodocus_high,max_phases,F1913R,60,2,3,0,6,11,8,4,0.016,0.036,0.0,0.144,0.484,0.256,0.064,0,3,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,4,0,0,1,1,0,0,33,50,29,34,11,14,32,49,24,33,45,95,28,47
