game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,GERMANY,cicero_nopress,diplodocus_high,max_phases,S1913R,60,0,8,6,0,6,9,5,0.0,0.2644628099173554,0.1487603305785124,0.0,0.1487603305785124,0.3347107438016529,0.10330578512396695,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,2,3,0,1,1,0,0,11,13,32,52,38,61,9,23,51,65,25,50,31,57
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,GERMANY,cicero_nopress,diplodocus_high,max_phases,S1913R,60,0,1,13,3,11,3,3,0.0,0.0031446540880503146,0.5314465408805031,0.02830188679245283,0.3805031446540881,0.02830188679245283,0.02830188679245283,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,2,1,0,1,2,1,0,1,3,0,0,10,12,11,18,47,79,20,39,43,78,24,59,24,50
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,GERMANY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,13,2,0,11,0,8,0.0,0.4720670391061452,0.0111731843575419,0.0,0.33798882681564246,0.0,0.1787709497206704,0,0,0,0,3,1,1,0,0,4,0,0,0,1,0,1,4,8,0,0,0,2,0,0,1,11,1,0,5,6,30,43,28,60,31,44,35,88,23,40,40,81
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,GERMANY,cicero_nopress,diplodocus_high,solo_18sc_FRANCE,F1912R,52,4,2,18,0,0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,1,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,1,0,27,51,32,47,45,68,12,35,3,11,23,48,13,42
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,GERMANY,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,4,12,0,5,7,6,0.0,0.05925925925925926,0.5333333333333333,0.0,0.09259259259259259,0.1814814814814815,0.13333333333333333,0,0,0,0,2,2,1,0,1,2,3,0,0,3,1,0,0,5,0,0,2,2,0,0,3,8,0,0,13,22,29,50,45,64,21,30,24,73,29,59,28,76
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,GERMANY,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,3,8,4,7,8,4,0.0,0.04128440366972477,0.29357798165137616,0.07339449541284404,0.22477064220183487,0.29357798165137616,0.07339449541284404,1,4,1,0,0,5,1,0,0,4,1,0,0,4,0,0,3,6,0,0,0,4,1,0,0,1,0,0,26,47,26,74,22,55,22,42,33,50,44,64,17,24
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,GERMANY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,0,0,2,16,8,8,0.0,0.0,0.0,0.010309278350515464,0.6597938144329897,0.16494845360824742,0.16494845360824742,2,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,2,4,2,0,2,2,0,0,24,37,21,28,9,11,30,39,55,89,34,52,39,51
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,GERMANY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,54,0,0,7,0,7,9,11,0.0,0.0,0.16333333333333333,0.0,0.16333333333333333,0.27,0.4033333333333333,0,2,0,0,0,2,1,0,0,2,3,0,0,1,1,0,4,6,1,0,1,0,0,0,2,7,0,0,7,16,8,18,38,56,19,32,31,91,31,80,34,77
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,GERMANY,cicero_nopress,diplodocus_high,max_phases,F1913R,60,13,1,12,1,6,0,1,0.48011363636363635,0.002840909090909091,0.4090909090909091,0.002840909090909091,0.10227272727272728,0.0,0.002840909090909091,1,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,1,0,0,0,2,1,0,0,0,0,39,87,8,11,34,62,35,57,18,44,11,18,20,50
run_1v6_myGERMANY_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,GERMANY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,4,3,6,5,2,8,6,0.08421052631578947,0.04736842105263158,0.18947368421052632,0.13157894736842105,0.021052631578947368,0.3368421052631579,0.18947368421052632,1,2,1,0,1,1,1,0,0,1,3,0,1,2,0,0,0,5,1,0,0,8,0,0,0,6,1,0,17,41,19,26,35,55,22,40,28,46,26,59,21,82
