game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,ITALY,cicero_nopress,diplodocus_high,max_phases,F1913R,60,1,1,12,2,2,5,11,0.0033333333333333335,0.0033333333333333335,0.48,0.013333333333333334,0.013333333333333334,0.08333333333333333,0.4033333333333333,2,8,0,0,0,2,1,0,1,8,0,0,1,10,0,0,0,7,0,0,0,4,2,0,0,5,0,0,25,48,17,39,38,75,23,79,12,32,22,41,24,53
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,3,5,11,5,0,4,6,0.03879310344827586,0.10775862068965517,0.521551724137931,0.10775862068965517,0.0,0.06896551724137931,0.15517241379310345,0,1,0,0,0,4,0,0,0,4,0,0,1,6,2,0,0,0,0,0,0,4,1,0,0,1,0,0,31,63,16,40,52,85,31,83,7,7,28,72,29,39
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,4,7,11,4,4,4,0,0.06837606837606838,0.2094017094017094,0.5170940170940171,0.06837606837606838,0.06837606837606838,0.06837606837606838,0.0,1,5,1,0,2,4,0,0,2,3,1,0,0,8,2,2,0,4,0,0,0,2,2,0,0,3,0,0,38,72,25,52,33,102,19,69,8,25,37,48,3,10
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,3,9,4,9,3,6,0.0,0.03879310344827586,0.34913793103448276,0.06896551724137931,0.34913793103448276,0.03879310344827586,0.15517241379310345,0,6,0,0,0,1,0,0,0,5,4,0,0,4,0,0,1,4,0,0,1,4,0,0,0,2,0,0,28,50,38,53,13,62,33,73,30,44,38,55,19,30
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,3,1,7,6,6,5,6,0.046875,0.005208333333333333,0.2552083333333333,0.1875,0.1875,0.13020833333333334,0.1875,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,1,4,1,0,0,2,0,0,40,85,9,17,39,48,31,47,17,25,31,71,12,26
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,3,0,13,7,0,5,6,0.03125,0.0,0.5868055555555556,0.1701388888888889,0.0,0.08680555555555555,0.125,0,1,0,0,0,3,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,4,2,0,23,41,16,37,47,69,38,88,4,4,32,73,33,59
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,55,6,6,9,6,1,0,6,0.1592920353982301,0.1592920353982301,0.3584070796460177,0.1592920353982301,0.004424778761061947,0.0,0.1592920353982301,1,2,1,0,3,5,5,0,0,0,0,0,1,6,3,0,0,3,0,0,0,0,1,0,0,1,0,0,33,86,17,42,21,61,22,65,9,37,8,15,20,41
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,3,6,10,5,0,4,6,0.04054054054054054,0.16216216216216217,0.45045045045045046,0.11261261261261261,0.0,0.07207207207207207,0.16216216216216217,0,2,0,0,1,7,0,0,0,3,0,0,0,8,0,0,0,1,1,0,0,2,0,0,0,0,0,0,16,62,13,83,30,61,22,104,15,19,15,67,19,44
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,58,0,4,11,0,0,6,13,0.0,0.04678362573099415,0.3538011695906433,0.0,0.0,0.10526315789473684,0.49415204678362573,0,6,2,0,0,1,0,0,0,2,0,0,1,4,3,0,0,1,0,0,1,6,0,0,0,2,0,0,31,56,22,45,39,68,26,63,2,3,21,57,34,60
run_1v6_myITALY_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,ITALY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,7,6,5,4,2,6,4,0.2692307692307692,0.1978021978021978,0.13736263736263737,0.08791208791208792,0.02197802197802198,0.1978021978021978,0.08791208791208792,4,1,4,0,0,10,0,0,0,7,0,0,0,1,0,0,1,4,0,0,0,1,1,0,0,2,1,0,38,65,11,51,24,55,30,81,17,25,38,79,20,37
