game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913M,60,0,9,6,2,11,2,4,0.0,0.30916030534351147,0.13740458015267176,0.015267175572519083,0.4618320610687023,0.015267175572519083,0.061068702290076333,0,0,1,0,0,1,3,0,2,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,29,36,35,64,20,55,36,66,36,42,23,34
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,5,12,0,4,2,11,0.0,0.08064516129032258,0.4645161290322581,0.0,0.05161290322580645,0.012903225806451613,0.3903225806451613,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,0,7,13,25,56,36,59,18,44,33,48,25,36,51,68
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,RUSSIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,10,1,5,8,6,0,4,0.4132231404958678,0.004132231404958678,0.10330578512396695,0.2644628099173554,0.1487603305785124,0.0,0.06611570247933884,3,6,2,1,1,1,0,0,2,3,0,0,0,6,1,0,3,8,0,0,0,0,0,0,0,2,0,0,37,72,11,27,32,63,46,74,28,47,10,15,19,30
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,3,5,9,5,3,9,0.0,0.0391304347826087,0.10869565217391304,0.3521739130434783,0.10869565217391304,0.0391304347826087,0.3521739130434783,0,0,0,0,0,2,1,0,1,2,4,0,0,3,0,0,0,3,2,0,0,2,0,0,2,5,0,0,13,26,13,34,25,61,53,95,31,44,34,55,37,71
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,S1913R,60,5,7,7,0,5,5,5,0.12626262626262627,0.2474747474747475,0.2474747474747475,0.0,0.12626262626262627,0.12626262626262627,0.12626262626262627,1,2,0,0,1,6,4,0,0,0,1,0,0,1,0,1,2,2,2,0,0,2,1,0,0,1,1,0,27,69,33,53,50,61,20,25,23,51,35,55,28,42
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,S1913R,60,0,1,8,9,2,0,14,0.0,0.002890173410404624,0.18497109826589594,0.23410404624277456,0.011560693641618497,0.0,0.5664739884393064,0,0,0,0,0,1,0,0,0,1,2,0,1,3,1,0,0,2,1,0,0,0,0,0,0,3,0,0,4,15,19,28,23,44,40,77,31,67,14,21,59,81
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913M,60,1,0,12,9,5,0,7,0.0033333333333333335,0.0,0.48,0.27,0.08333333333333333,0.0,0.16333333333333333,0,2,0,0,4,5,2,0,0,3,0,0,2,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,21,29,21,41,27,77,29,94,36,48,10,16,40,63
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913M,60,0,4,7,8,1,0,14,0.0,0.049079754601226995,0.15030674846625766,0.19631901840490798,0.003067484662576687,0.0,0.6012269938650306,0,0,0,0,0,2,0,0,3,4,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,12,15,18,40,24,61,35,96,38,63,12,19,61,84
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913R,60,1,8,6,5,7,0,7,0.004464285714285714,0.2857142857142857,0.16071428571428573,0.11160714285714286,0.21875,0.0,0.21875,0,5,0,0,2,1,0,0,0,6,0,0,0,7,1,0,4,5,1,0,0,0,0,0,0,3,0,0,37,58,29,64,23,80,25,84,23,36,14,32,36,50
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,S1913R,60,0,2,9,11,12,0,0,0.0,0.011428571428571429,0.23142857142857143,0.3457142857142857,0.4114285714285714,0.0,0.0,3,10,0,0,1,4,0,0,0,0,0,0,3,6,0,0,7,8,1,1,0,1,0,0,0,1,0,0,25,73,17,54,41,77,28,105,31,57,23,37,9,15
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,2,7,7,8,4,6,0.0,0.01834862385321101,0.22477064220183487,0.22477064220183487,0.29357798165137616,0.07339449541284404,0.1651376146788991,0,0,0,0,0,5,0,0,0,3,1,0,0,5,0,0,0,3,1,0,0,2,2,0,0,2,4,0,5,9,35,68,25,49,33,54,42,81,20,42,34,58
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,RUSSIA,cicero_nopress,diplodocus_high,max_phases,F1913M,60,0,9,7,1,12,3,2,0.0,0.28125,0.1701388888888889,0.003472222222222222,0.5,0.03125,0.013888888888888888,0,0,0,0,1,0,0,0,3,6,1,0,0,2,2,0,0,1,0,0,1,3,0,0,0,2,0,0,7,9,26,44,32,56,17,42,53,77,25,35,36,47
run_1v6_myRUSSIA_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,RUSSIA,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,3,7,10,0,5,2,7,0.038135593220338986,0.2076271186440678,0.423728813559322,0.0,0.1059322033898305,0.01694915254237288,0.2076271186440678,0,6,0,0,0,1,2,0,0,1,1,0,0,2,1,0,3,2,1,0,0,3,0,0,0,0,2,0,40,74,25,42,30,51,35,65,15,38,16,27,38,62
