game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed1_v1,1,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,0,7,11,0,0,16,0,0.0,0.11502347417840375,0.284037558685446,0.0,0.0,0.6009389671361502,0.0,0,3,0,0,2,4,0,0,1,2,1,1,1,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,10,23,28,72,55,71,20,52,9,11,67,96,11,18
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed0_v1,0,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,8,4,7,7,0,8,0,0.2644628099173554,0.06611570247933884,0.2024793388429752,0.2024793388429752,0.0,0.2644628099173554,0.0,0,3,0,0,1,3,1,0,1,5,1,0,0,6,2,0,0,2,0,1,0,4,0,0,0,0,0,0,53,82,8,28,18,71,28,89,11,12,42,93,6,14
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed2_v1,2,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,57,9,2,11,3,3,3,3,0.3347107438016529,0.01652892561983471,0.5,0.0371900826446281,0.0371900826446281,0.0371900826446281,0.0371900826446281,2,10,1,0,0,3,2,0,0,2,1,0,0,2,1,0,2,8,0,0,0,6,0,0,0,2,2,0,36,77,11,16,43,70,34,59,23,55,12,51,31,51
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed3_v1,3,1v6,TURKEY,cicero_nopress,diplodocus_high,max_phases,F1913R,60,0,6,7,3,10,5,3,0.0,0.15789473684210525,0.2149122807017544,0.039473684210526314,0.43859649122807015,0.10964912280701754,0.039473684210526314,0,1,0,0,0,2,0,0,0,4,2,0,0,3,1,0,1,2,0,0,0,4,1,0,0,2,0,0,3,8,16,34,28,59,32,82,34,48,52,76,36,47
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed4_v1,4,1v6,TURKEY,cicero_nopress,diplodocus_high,max_phases,F1914R,60,0,6,9,7,3,9,0,0.0,0.140625,0.31640625,0.19140625,0.03515625,0.31640625,0.0,0,1,0,0,1,2,1,0,0,8,1,0,0,8,1,0,2,2,4,0,0,1,0,0,0,0,0,0,5,7,29,44,27,69,27,80,32,53,37,45,13,13
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed5_v1,5,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,0,3,7,7,4,10,3,0.0,0.03879310344827586,0.21120689655172414,0.21120689655172414,0.06896551724137931,0.43103448275862066,0.03879310344827586,0,3,1,0,1,3,0,0,1,0,3,0,0,3,1,0,3,5,1,0,0,3,0,0,0,2,0,0,22,38,14,61,26,58,38,83,22,37,34,72,25,37
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed6_v1,6,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,59,0,0,9,6,15,4,0,0.0,0.0,0.22625698324022347,0.1005586592178771,0.6284916201117319,0.0446927374301676,0.0,0,0,0,0,0,3,1,0,3,5,1,0,0,5,0,0,0,2,1,0,0,2,0,0,0,0,0,0,18,25,14,24,25,72,26,49,55,74,23,47,18,33
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed7_v1,7,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,60,14,13,7,0,0,0,0,0.47342995169082125,0.4082125603864734,0.11835748792270531,0.0,0.0,0.0,0.0,1,3,0,0,1,5,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,65,86,50,78,36,59,14,35,6,11,19,29,7,24
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed8_v1,8,1v6,TURKEY,cicero_nopress,diplodocus_high,stop_after_W1913A,W1913A,56,0,2,5,12,1,10,4,0.0,0.013793103448275862,0.08620689655172414,0.496551724137931,0.0034482758620689655,0.3448275862068966,0.05517241379310345,0,1,0,0,2,6,0,0,0,14,0,0,1,10,1,0,1,4,2,0,0,2,1,0,0,4,0,0,2,5,9,21,16,71,52,82,24,55,49,74,26,26
run_1v6_myTURKEY_mycicero_nopress_oppdiplodocus_high_seed9_v1,9,1v6,TURKEY,cicero_nopress,diplodocus_high,max_phases,F1913M,60,0,6,7,4,8,6,3,0.0,0.17142857142857143,0.23333333333333334,0.0761904761904762,0.3047619047619048,0.17142857142857143,0.04285714285714286,0,1,0,0,1,2,3,0,0,3,3,0,0,7,0,0,1,3,1,0,3,5,1,1,1,5,0,0,3,7,34,44,23,56,26,72,42,56,37,65,29,37
