side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.0017699115044247787,0.0,0.0,0.1,0.9,0,0,1,9,0,8,1,0,0.0,0.8,0.1,0.0,125,245,0.5102040816326531
self,cicero_nopress,per_power,ENGLAND,10,0.027161477498539716,0.0,0.0,0.5,0.5,0,0,5,5,3,23,2,0,0.3,2.3,0.2,0.0,190,271,0.7011070110701108
self,cicero_nopress,per_power,FRANCE,10,0.06712991500233248,0.0,0.1,0.5,0.4,0,1,5,4,0,9,1,0,0.0,0.9,0.1,0.0,285,427,0.667447306791569
self,cicero_nopress,per_power,GERMANY,10,0.024642551701514248,0.0,0.0,0.5,0.5,0,0,5,5,1,17,4,1,0.1,1.7,0.4,0.1,221,381,0.5800524934383202
self,cicero_nopress,per_power,ITALY,10,0.06447501334829683,0.0,0.1,0.5,0.4,0,1,5,4,2,27,1,0,0.2,2.7,0.1,0.0,121,221,0.5475113122171946
self,cicero_nopress,per_power,RUSSIA,10,0.03151571103794226,0.0,0.0,0.7,0.3,0,0,7,3,1,14,3,0,0.1,1.4,0.3,0.0,229,360,0.6361111111111111
self,cicero_nopress,per_power,TURKEY,10,0.02134864269536766,0.0,0.0,0.5,0.5,0,0,5,5,1,15,3,0,0.1,1.5,0.3,0.0,202,300,0.6733333333333333
opponent,diplodocus_high,per_power,AUSTRIA,60,0.07056739223441992,0.0,0.1,0.36666666666666664,0.5333333333333333,0,6,22,32,26,161,17,2,0.43333333333333335,2.683333333333333,0.2833333333333333,0.03333333333333333,1422,2757,0.515778019586507
opponent,diplodocus_high,per_power,ENGLAND,60,0.12570170078550477,0.0,0.11666666666666667,0.75,0.13333333333333333,0,7,45,8,42,153,59,2,0.7,2.55,0.9833333333333333,0.03333333333333333,1298,2445,0.530879345603272
opponent,diplodocus_high,per_power,FRANCE,60,0.2797055423718762,0.016666666666666666,0.4,0.5333333333333333,0.05,1,24,32,3,28,187,74,2,0.4666666666666667,3.1166666666666667,1.2333333333333334,0.03333333333333333,1836,3516,0.5221843003412969
opponent,diplodocus_high,per_power,GERMANY,60,0.13553062476148456,0.0,0.13333333333333333,0.65,0.21666666666666667,0,8,39,13,18,223,59,3,0.3,3.716666666666667,0.9833333333333333,0.05,1895,3928,0.4824338085539715
opponent,diplodocus_high,per_power,ITALY,60,0.19219614550521066,0.0,0.18333333333333332,0.7333333333333333,0.08333333333333333,0,11,44,5,70,194,39,2,1.1666666666666667,3.2333333333333334,0.65,0.03333333333333333,1820,3432,0.5303030303030303
opponent,diplodocus_high,per_power,RUSSIA,60,0.1615166408717637,0.0,0.21666666666666667,0.6833333333333333,0.1,0,13,41,6,27,161,35,5,0.45,2.683333333333333,0.5833333333333334,0.08333333333333333,1840,3580,0.5139664804469274
opponent,diplodocus_high,per_power,TURKEY,60,0.16177474967167033,0.0,0.13333333333333333,0.8333333333333334,0.03333333333333333,0,8,50,2,34,162,22,0,0.5666666666666667,2.7,0.36666666666666664,0.0,1606,3027,0.5305583085563264
self,cicero_nopress,overall,OVERALL,70,0.034006174684059705,0.0,0.02857142857142857,0.4714285714285714,0.5,0,2,33,35,8,113,15,1,0.11428571428571428,1.6142857142857143,0.21428571428571427,0.014285714285714285,1373,2205,0.6226757369614513
opponent,diplodocus_high,overall,OVERALL,420,0.16099897088599008,0.002380952380952381,0.18333333333333332,0.65,0.16428571428571428,1,77,273,69,245,1241,305,16,0.5833333333333334,2.954761904761905,0.7261904761904762,0.0380952380952381,11717,22685,0.51650870619352
