game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,ENGLAND,cicero_nopress,dipnet,solo_18sc_ENGLAND,F1912R,55,0,18,0,1,10,2,3,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,47,72,16,26,21,39,49,87,14,49,30,59
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,ENGLAND,cicero_nopress,dipnet,stop_after_W1913A,W1913A,47,0,9,0,9,8,4,4,0.000000,0.313953,0.000000,0.313953,0.248062,0.062016,0.062016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,29,35,26,37,47,85,32,122,3,91,33,62
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,ENGLAND,cicero_nopress,dipnet,solo_18sc_ENGLAND,F1911R,48,0,18,0,0,10,0,6,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,56,83,9,26,30,58,51,98,4,37,30,56
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,ENGLAND,cicero_nopress,dipnet,max_phases,S1920M,60,0,0,8,8,11,7,0,0.000000,0.000000,0.214765,0.214765,0.406040,0.164430,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,13,18,70,113,81,139,49,127,40,153,2,11
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,ENGLAND,cicero_nopress,dipnet,max_phases,F1913M,60,8,17,3,0,2,0,4,0.167539,0.756545,0.023560,0.000000,0.010471,0.000000,0.041885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,84,74,101,26,76,9,11,28,31,11,27,25,41
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,ENGLAND,cicero_nopress,dipnet,solo_18sc_ITALY,F1913M,54,2,7,5,2,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,59,34,47,13,129,23,74,60,84,17,39,0,23
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,ENGLAND,cicero_nopress,dipnet,stop_after_W1913A,W1913A,58,2,0,16,1,1,2,12,0.009756,0.000000,0.624390,0.002439,0.002439,0.009756,0.351220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,15,18,52,62,27,50,13,22,28,47,41,92
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,ENGLAND,cicero_nopress,dipnet,solo_18sc_ITALY,F1912R,50,0,2,5,9,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,17,29,25,103,21,71,50,69,24,53,0,19
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,ENGLAND,cicero_nopress,dipnet,solo_18sc_ENGLAND,F1911M,51,0,18,0,0,15,1,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,56,80,8,17,10,29,59,80,27,65,13,29
run_1v6_myENGLAND_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,ENGLAND,cicero_nopress,dipnet,stop_after_W1913A,W1913A,59,0,7,10,0,15,2,0,0.000000,0.129630,0.264550,0.000000,0.595238,0.010582,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,63,45,62,39,91,20,28,56,67,30,61,0,18
