game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed0_v1,0,1v6,TURKEY,cicero_nopress,dipnet,solo_18sc_ITALY,F1913R,60,15,1,0,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,97,31,53,11,19,42,63,44,72,10,18,6,12
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed1_v1,1,1v6,TURKEY,cicero_nopress,dipnet,solo_18sc_FRANCE,F1913R,58,8,2,19,0,1,1,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,101,24,59,36,97,18,54,16,38,25,62,13,49
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed2_v1,2,1v6,TURKEY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,53,0,7,0,17,7,0,3,0.000000,0.123737,0.000000,0.729798,0.123737,0.000000,0.022727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,24,25,19,27,46,66,49,94,10,17,33,62
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed3_v1,3,1v6,TURKEY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,54,7,0,14,0,4,6,3,0.160131,0.000000,0.640523,0.000000,0.052288,0.117647,0.029412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,85,14,16,42,90,23,41,8,29,25,89,21,49
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed4_v1,4,1v6,TURKEY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,55,0,7,1,12,3,0,11,0.000000,0.151235,0.003086,0.444444,0.027778,0.000000,0.373457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,46,94,13,17,66,141,53,114,6,23,45,60
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed5_v1,5,1v6,TURKEY,cicero_nopress,dipnet,solo_18sc_ITALY,F1913R,57,1,1,1,11,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,9,9,33,41,39,113,95,104,10,26,18,25
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed6_v1,6,1v6,TURKEY,cicero_nopress,dipnet,max_phases,F1914M,60,11,0,17,1,2,0,3,0.285377,0.000000,0.681604,0.002358,0.009434,0.000000,0.021226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,134,8,11,64,165,20,26,31,55,10,19,20,49
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed8_v1,8,1v6,TURKEY,cicero_nopress,dipnet,max_phases,S1916M,60,0,0,16,1,17,0,0,0.000000,0.000000,0.468864,0.001832,0.529304,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,11,16,89,197,17,24,79,106,20,47,14,29
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed7_v1,7,1v6,TURKEY,cicero_nopress,dipnet,max_phases,F1913R,60,0,17,0,0,0,0,17,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,75,146,14,20,14,21,6,19,39,87,51,109
run_1v6_myTURKEY_mycicero_nopress_oppdipnet_seed9_v1,9,1v6,TURKEY,cicero_nopress,dipnet,stop_after_W1913A,W1913A,59,0,0,17,0,1,1,15,0.000000,0.000000,0.560078,0.000000,0.001938,0.001938,0.436047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,6,6,50,133,14,22,24,37,40,104,51,64
