game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,max_phases,S1914M,60,0,3,5,7,3,11,5,0.000000,0.037815,0.105042,0.205882,0.037815,0.508403,0.105042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,30,19,24,39,43,18,42,36,57,26,46
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,1,5,5,10,2,3,8,0.004386,0.109649,0.109649,0.438596,0.017544,0.039474,0.280702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,62,12,35,8,18,50,68,20,27,20,52,24,28
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,6,5,12,3,3,5,0.000000,0.145161,0.100806,0.580645,0.036290,0.036290,0.100806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,14,20,21,30,57,81,20,36,16,28,32,54
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,4,2,8,12,8,0,0.000000,0.054795,0.013699,0.219178,0.493151,0.219178,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,8,23,19,35,34,40,43,79,28,42,17,36
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,1,3,2,10,0,5,13,0.003247,0.029221,0.012987,0.324675,0.000000,0.081169,0.548701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,62,12,24,27,34,34,43,10,15,13,32,43,70
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,1,3,5,8,7,9,1,0.004348,0.039130,0.108696,0.278261,0.213043,0.352174,0.004348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,49,12,29,6,7,44,55,16,48,21,47,7,27
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,2,6,10,0,9,7,0.000000,0.014815,0.133333,0.370370,0.000000,0.300000,0.181481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,5,33,25,37,35,46,9,18,31,77,21,44
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,1,3,2,10,0,5,13,0.003247,0.029221,0.012987,0.324675,0.000000,0.081169,0.548701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,62,12,24,27,34,34,43,10,15,13,32,43,70
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,2,3,0,6,9,6,8,0.017391,0.039130,0.000000,0.156522,0.352174,0.156522,0.278261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,9,20,20,27,31,43,24,36,25,31,41,59
run_1v6_myAUSTRIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,AUSTRIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,56,1,4,6,12,3,4,4,0.004202,0.067227,0.151261,0.605042,0.037815,0.067227,0.067227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,64,15,26,14,20,51,84,20,29,13,31,18,27
