game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,54,0,1,14,0,14,5,0,0.000000,0.002392,0.468900,0.000000,0.468900,0.059809,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,4,43,57,29,33,43,59,33,45,18,37
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,0,8,6,10,5,5,0.000000,0.000000,0.256000,0.144000,0.400000,0.100000,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,6,6,37,53,36,45,44,53,30,49,21,39
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,15,0,2,4,13,0.000000,0.000000,0.543478,0.000000,0.009662,0.038647,0.408213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,9,16,45,59,25,32,13,26,17,37,50,59
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,3,8,8,4,11,0,0,0.032847,0.233577,0.233577,0.058394,0.441606,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,30,34,34,51,49,56,50,59,2,10,14,27
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,8,0,13,12,1,0.000000,0.000000,0.169312,0.000000,0.447090,0.380952,0.002646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,41,43,58,5,9,58,74,44,59,20,27
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,4,5,7,3,4,5,6,0.090909,0.142045,0.278409,0.051136,0.090909,0.142045,0.204545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,12,24,33,48,38,46,20,40,21,42,37,45
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,3,6,11,3,0,11,0.000000,0.030405,0.121622,0.408784,0.030405,0.000000,0.408784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,15,19,26,32,73,90,13,24,9,13,48,56
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,0,17,0,4,0,13,0.000000,0.000000,0.609705,0.000000,0.033755,0.000000,0.356540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,6,10,42,48,32,56,8,31,9,42,43,61
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,solo_18sc_GERMANY,F1911R,50,0,1,1,18,2,1,11,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,9,11,20,27,50,61,12,16,23,38,36,40
run_1v6_myENGLAND_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,ENGLAND,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,1,6,8,5,1,3,10,0.004237,0.152542,0.271186,0.105932,0.004237,0.038136,0.423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,27,45,17,34,44,52,10,14,19,46,33,48
