game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,7,10,2,8,7,0.000000,0.000000,0.184211,0.375940,0.015038,0.240602,0.184211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,23,33,54,34,41,28,34,30,40,38,56
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,4,8,4,0,9,3,6,0.072072,0.288288,0.072072,0.000000,0.364865,0.040541,0.162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,21,34,36,67,14,22,22,30,40,62,29,48
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,9,1,5,4,3,12,0.000000,0.293478,0.003623,0.090580,0.057971,0.032609,0.521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,22,44,23,26,36,55,19,37,6,21,41,49
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,S1913R,60,7,0,4,10,7,0,6,0.196000,0.000000,0.064000,0.400000,0.196000,0.000000,0.144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,16,20,34,52,23,31,22,28,6,8,42,54
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,9,0,0,11,12,2,0.000000,0.231429,0.000000,0.000000,0.345714,0.411429,0.011429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,22,31,22,31,22,33,46,60,45,62,11,23
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,2,2,8,9,7,6,0.000000,0.016807,0.016807,0.268908,0.340336,0.205882,0.151261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,8,16,21,47,43,53,25,33,33,50,29,33
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,2,7,5,10,5,0.000000,0.109649,0.017544,0.214912,0.109649,0.438596,0.109649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,28,34,62,33,36,12,40,45,69,44,60
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,5,4,4,5,9,7,0,0.117925,0.075472,0.075472,0.117925,0.382075,0.231132,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,11,31,35,48,22,30,32,57,33,58,19,24
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,8,11,1,1,8,1,4,0.238806,0.451493,0.003731,0.003731,0.238806,0.003731,0.059701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,23,39,20,23,21,28,22,27,15,28,21,39
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,FRANCE,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,7,4,0,5,11,7,0.000000,0.188462,0.061538,0.000000,0.096154,0.465385,0.188462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,7,20,42,50,24,32,31,47,28,54,24,33
