game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,5,4,5,12,3,0,5,0.102459,0.065574,0.102459,0.590164,0.036885,0.000000,0.102459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,21,27,31,46,64,88,24,45,8,12,32,68
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,2,5,4,2,7,11,3,0.017544,0.109649,0.070175,0.017544,0.214912,0.530702,0.039474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,23,30,10,23,41,57,36,51,39,58,19,30
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,6,6,11,4,0,1,6,0.146341,0.146341,0.491870,0.065041,0.000000,0.004065,0.146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,48,17,28,19,28,44,64,18,21,13,21,37,47
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,5,3,8,6,5,0,7,0.120192,0.043269,0.307692,0.173077,0.120192,0.000000,0.235577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,60,14,30,29,41,40,51,15,16,13,27,27,37
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,2,1,5,8,4,5,9,0.018519,0.004630,0.115741,0.296296,0.074074,0.115741,0.375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,7,16,21,31,53,59,18,40,16,35,40,57
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,56,0,0,2,16,7,0,9,0.000000,0.000000,0.010256,0.656410,0.125641,0.000000,0.207692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,2,30,43,62,81,38,66,15,29,46,68
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,3,0,6,8,0,4,13,0.030612,0.000000,0.122449,0.217687,0.000000,0.054422,0.574830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,7,13,23,32,46,66,16,20,17,50,36,47
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,9,0,13,0,3,5,4,0.270000,0.000000,0.563333,0.000000,0.030000,0.083333,0.053333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,7,12,29,35,22,28,19,26,30,46,24,31
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,solo_18sc_FRANCE,F1912R,56,8,0,18,0,5,2,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,6,13,37,48,19,24,24,32,12,24,12,17
run_1v6_myGERMANY_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,GERMANY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,6,6,6,2,9,0.000000,0.114679,0.165138,0.165138,0.165138,0.018349,0.371560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,25,18,21,50,59,25,44,31,54,36,46
